# 사전 예상(고정): C1 반반 / C2 고점근처 우위 / C3 저변동 약한 우위 — 결과가 달라도 그대로 보고, 튜닝 금지
# C2 52주 고점 근사: 일별 종가(2025-07~) + 그 이전 구간은 월말 종가 12개월 최고 혼합 — 순수 일별 고점 아님
# KOSPI: 베이스 월평균 10.4종목, C1 분할제외(PBR 결측·0이하) 월평균 1.3, C3 분할제외(12개월 창 미완비) 월평균 0.3
# KOSDAQ: 베이스 월평균 8.2종목, C1 분할제외(PBR 결측·0이하) 월평균 0.3, C3 분할제외(12개월 창 미완비) 월평균 0.5
시장,전략,보유,진입월,종목수,만기누락,수익률,시장프록시,랜덤평균,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSPI,베이스,6,2016-04,19,0,-0.11104237120804265,0.011306522727304385,-0.010505365628112096,-0.12234889393534704,-0.10053700557993056,-0.11404237120804266,-0.10353700557993056
KOSPI,C1_저PBR,6,2016-04,9,0,-0.0316362188015508,0.011306522727304385,0.0003528893283821291,-0.04294274152885518,-0.03198910812993293,-0.0346362188015508,-0.03498910812993293
KOSPI,C1_고PBR,6,2016-04,5,0,-0.19536759981219282,0.011306522727304385,-0.009486041453905972,-0.2066741225394972,-0.18588155835828685,-0.19836759981219282,-0.18888155835828685
KOSPI,C2_고점근처,6,2016-04,0,0,,0.011306522727304385,,,,,
KOSPI,C2_낙폭,6,2016-04,0,0,,0.011306522727304385,,,,,
KOSPI,C3_저변동,6,2016-04,0,0,,0.011306522727304385,,,,,
KOSPI,C3_고변동,6,2016-04,0,0,,0.011306522727304385,,,,,
KOSPI,베이스,1,2016-04,19,0,-0.026251725391007737,-0.004818683863067559,0.019009686836445695,-0.021433041527940178,-0.04526141222745343,-0.029251725391007736,-0.048261412227453435
KOSPI,C1_저PBR,1,2016-04,9,0,-0.050917148526666685,-0.004818683863067559,0.060734482674323055,-0.046098464663599126,-0.11165163120098974,-0.05391714852666669,-0.11465163120098974
KOSPI,C1_고PBR,1,2016-04,5,0,-0.005420532818801327,-0.004818683863067559,0.09390529819671473,-0.0006018489557337676,-0.09932583101551605,-0.008420532818801327,-0.10232583101551605
KOSPI,C2_고점근처,1,2016-04,0,0,,-0.004818683863067559,,,,,
KOSPI,C2_낙폭,1,2016-04,0,0,,-0.004818683863067559,,,,,
KOSPI,C3_저변동,1,2016-04,0,0,,-0.004818683863067559,,,,,
KOSPI,C3_고변동,1,2016-04,0,0,,-0.004818683863067559,,,,,
KOSPI,베이스,6,2016-05,15,0,-0.1529293543442122,0.0023140076626746997,-0.05954569429902435,-0.1552433620068869,-0.09338366004518786,-0.1559293543442122,-0.09638366004518786
KOSPI,C1_저PBR,6,2016-05,4,0,0.0208777418163692,0.0023140076626746997,-0.05216872274209744,0.0185637341536945,0.07304646455846664,0.0178777418163692,0.07004646455846664
KOSPI,C1_고PBR,6,2016-05,9,0,-0.2050721104231322,0.0023140076626746997,-0.056567419426435846,-0.2073861180858069,-0.14850469099669636,-0.2080721104231322,-0.15150469099669636
KOSPI,C2_고점근처,6,2016-05,0,0,,0.0023140076626746997,,,,,
KOSPI,C2_낙폭,6,2016-05,0,0,,0.0023140076626746997,,,,,
KOSPI,C3_저변동,6,2016-05,0,0,,0.0023140076626746997,,,,,
KOSPI,C3_고변동,6,2016-05,0,0,,0.0023140076626746997,,,,,
KOSPI,베이스,1,2016-05,15,0,0.0015950620335389706,-0.004888993607062026,-0.008234591940877575,0.006484055640600997,0.009829653974416545,-0.0014049379664610295,0.0068296539744165455
KOSPI,C1_저PBR,1,2016-05,4,0,0.014829745897987523,-0.004888993607062026,-0.008346026709780517,0.01971873950504955,0.02317577260776804,0.011829745897987524,0.02017577260776804
KOSPI,C1_고PBR,1,2016-05,9,0,-0.011095537367294295,-0.004888993607062026,-0.016506694972368598,-0.006206543760232269,0.005411157605074303,-0.014095537367294294,0.0024111576050743037
KOSPI,C2_고점근처,1,2016-05,0,0,,-0.004888993607062026,,,,,
KOSPI,C2_낙폭,1,2016-05,0,0,,-0.004888993607062026,,,,,
KOSPI,C3_저변동,1,2016-05,0,0,,-0.004888993607062026,,,,,
KOSPI,C3_고변동,1,2016-05,0,0,,-0.004888993607062026,,,,,
KOSPI,베이스,6,2016-06,16,0,-0.07241161425806672,0.029721371629523638,0.004873914085233687,-0.10213298588759036,-0.07728552834330041,-0.07541161425806672,-0.08028552834330041
KOSPI,C1_저PBR,6,2016-06,4,0,0.09119817264236951,0.029721371629523638,0.007947126261286032,0.061476801012845875,0.08325104638108348,0.08819817264236951,0.08025104638108348
KOSPI,C1_고PBR,6,2016-06,12,0,-0.12694820989154545,0.029721371629523638,0.0422616065967686,-0.15666958152106908,-0.16920981648831407,-0.12994820989154546,-0.17220981648831407
KOSPI,C2_고점근처,6,2016-06,0,0,,0.029721371629523638,,,,,
KOSPI,C2_낙폭,6,2016-06,0,0,,0.029721371629523638,,,,,
KOSPI,C3_저변동,6,2016-06,0,0,,0.029721371629523638,,,,,
KOSPI,C3_고변동,6,2016-06,0,0,,0.029721371629523638,,,,,
KOSPI,베이스,1,2016-06,16,0,0.02218761685677833,0.0238438816610896,0.028272438085518384,-0.0016562648043112714,-0.006084821228740055,0.01918761685677833,-0.009084821228740055
KOSPI,C1_저PBR,1,2016-06,4,0,0.06924870810505454,0.0238438816610896,0.0350401449804441,0.045404826443964943,0.03420856312461044,0.06624870810505454,0.031208563124610435
KOSPI,C1_고PBR,1,2016-06,12,0,0.006500586440686258,0.0238438816610896,0.02880190706454118,-0.017343295220403343,-0.022301320623854922,0.0035005864406862583,-0.02530132062385492
KOSPI,C2_고점근처,1,2016-06,0,0,,0.0238438816610896,,,,,
KOSPI,C2_낙폭,1,2016-06,0,0,,0.0238438816610896,,,,,
KOSPI,C3_저변동,1,2016-06,0,0,,0.0238438816610896,,,,,
KOSPI,C3_고변동,1,2016-06,0,0,,0.0238438816610896,,,,,
KOSPI,베이스,6,2016-07,13,0,0.03365448497920024,0.03430038648492398,-0.020019590845010624,-0.000645901505723738,0.05367407582421087,0.03065448497920024,0.050674075824210865
KOSPI,C1_저PBR,6,2016-07,6,0,0.09774535368032566,0.03430038648492398,-0.023730651112609767,0.06344496719540169,0.12147600479293544,0.09474535368032566,0.11847600479293544
KOSPI,C1_고PBR,6,2016-07,5,0,0.03189999582502885,0.03430038648492398,-0.005703842256649273,-0.002400390659895127,0.03760383808167812,0.028899995825028852,0.03460383808167813
KOSPI,C2_고점근처,6,2016-07,0,0,,0.03430038648492398,,,,,
KOSPI,C2_낙폭,6,2016-07,0,0,,0.03430038648492398,,,,,
KOSPI,C3_저변동,6,2016-07,0,0,,0.03430038648492398,,,,,
KOSPI,C3_고변동,6,2016-07,0,0,,0.03430038648492398,,,,,
KOSPI,베이스,1,2016-07,13,0,0.017484891097024318,0.01006081224200595,-0.01567623667744529,0.0074240788550183675,0.03316112777446961,0.014484891097024319,0.03016112777446961
KOSPI,C1_저PBR,1,2016-07,6,0,0.016428447672247826,0.01006081224200595,-0.018609424846708262,0.006367635430241875,0.035037872518956084,0.013428447672247826,0.03203787251895609
KOSPI,C1_고PBR,1,2016-07,5,0,0.03088356594693571,0.01006081224200595,-0.010271574252313365,0.02082275370492976,0.041155140199249075,0.02788356594693571,0.03815514019924907
