# 사전 예상(고정): C1 반반 / C2 고점근처 우위 / C3 저변동 약한 우위 — 결과가 달라도 그대로 보고, 튜닝 금지
# C2 52주 고점 근사: 일별 종가(2025-07~) + 그 이전 구간은 월말 종가 12개월 최고 혼합 — 순수 일별 고점 아님
# KOSPI: 베이스 월평균 10.4종목, C1 분할제외(PBR 결측·0이하) 월평균 1.3, C3 분할제외(12개월 창 미완비) 월평균 0.3
# KOSDAQ: 베이스 월평균 8.2종목, C1 분할제외(PBR 결측·0이하) 월평균 0.3, C3 분할제외(12개월 창 미완비) 월평균 0.5
# C1(저PBR−고PBR) KOSPI 6m: 격차 -2.27%p, t=-0.76, n=99 → 유의차 없음
# C1(저PBR−고PBR) KOSPI 1m: 격차 -0.45%p, t=-0.34, n=103 → 유의차 없음
# C1(저PBR−고PBR) KOSDAQ 6m: 격차 +12.56%p, t=1.74, n=99 → 유의차 없음
# C1(저PBR−고PBR) KOSDAQ 1m: 격차 +0.45%p, t=0.30, n=102 → 유의차 없음
# C2(고점근처−낙폭) KOSPI 6m: 격차 +7.95%p, t=2.06, n=90 → 충족군 유의 우위
# C2(고점근처−낙폭) KOSPI 1m: 격차 -0.70%p, t=-0.51, n=95 → 유의차 없음
# C2(고점근처−낙폭) KOSDAQ 6m: 격차 -11.20%p, t=-0.40, n=86 → 유의차 없음
# C2(고점근처−낙폭) KOSDAQ 1m: 격차 +2.02%p, t=1.12, n=90 → 유의차 없음
# C3(저변동−고변동) KOSPI 6m: 격차 -6.61%p, t=-2.12, n=98 → 미충족군 유의 우위
# C3(저변동−고변동) KOSPI 1m: 격차 +0.25%p, t=0.23, n=102 → 유의차 없음
# C3(저변동−고변동) KOSDAQ 6m: 격차 +0.60%p, t=0.10, n=95 → 유의차 없음
# C3(저변동−고변동) KOSDAQ 1m: 격차 +2.52%p, t=1.69, n=98 → 유의차 없음
시장,전략,보유개월,초과랜덤_전체%p,초과랜덤_2016~20%p,초과랜덤_2021~26%p,초과랜덤_상위3제거%p,초과랜덤_비용후%p,전구간_생존
KOSDAQ,C1_고PBR,1,-3.72,-2.32,-4.99,-4.19,-4.02,False
KOSDAQ,C1_고PBR,6,-7.8,-4.15,-11.4,-10.02,-8.1,False
KOSDAQ,C1_저PBR,1,-3.27,-3.72,-2.83,-4.45,-3.57,False
KOSDAQ,C1_저PBR,6,5.22,-6.16,17.31,-3.74,4.92,False
KOSDAQ,C2_고점근처,1,-3.11,-2.51,-3.59,-3.92,-3.41,False
KOSDAQ,C2_고점근처,6,-1.87,-5.55,1.22,-5.3,-2.17,False
KOSDAQ,C2_낙폭,1,-4.95,-3.09,-6.46,-6.09,-5.25,False
KOSDAQ,C2_낙폭,6,9.76,37.17,-14.79,-17.76,9.46,False
KOSDAQ,C3_고변동,1,-4.51,-3.86,-4.97,-5.29,-4.81,False
KOSDAQ,C3_고변동,6,-4.42,-0.5,-7.49,-10.66,-4.72,False
KOSDAQ,C3_저변동,1,-1.95,-2.7,-1.32,-2.73,-2.25,False
KOSDAQ,C3_저변동,6,-3.73,-10.69,2.53,-6.02,-4.03,False
KOSDAQ,베이스,1,-3.12,-2.35,-3.78,-3.53,-3.42,False
KOSDAQ,베이스,6,-3.54,-3.99,-3.12,-6.71,-3.84,False
KOSPI,C1_고PBR,1,-0.61,-1.39,0.07,-1.35,-0.91,False
KOSPI,C1_고PBR,6,0.68,-5.03,6.1,-1.25,0.38,False
KOSPI,C1_저PBR,1,-1.14,-0.02,-2.09,-2.14,-1.44,False
KOSPI,C1_저PBR,6,-1.34,0.75,-3.23,-3.67,-1.64,False
KOSPI,C2_고점근처,1,-0.81,-0.95,-0.71,-1.55,-1.11,False
KOSPI,C2_고점근처,6,3.06,-2.34,7.22,0.54,2.76,False
KOSPI,C2_낙폭,1,-0.92,0.24,-1.97,-2.2,-1.22,False
KOSPI,C2_낙폭,6,-6.36,-5.52,-7.21,-8.8,-6.66,False
KOSPI,C3_고변동,1,-0.17,-0.03,-0.26,-1.21,-0.47,False
KOSPI,C3_고변동,6,2.05,-4.26,7.02,-0.06,1.75,False
KOSPI,C3_저변동,1,-0.41,-0.29,-0.5,-1.14,-0.71,False
KOSPI,C3_저변동,6,-4.39,-3.82,-4.89,-6.41,-4.69,False
KOSPI,베이스,1,-0.51,-0.8,-0.26,-1.25,-0.81,False
KOSPI,베이스,6,0.52,-3.95,4.7,-1.05,0.22,False
