# 사전 예상(고정): C1 반반 / C2 고점근처 우위 / C3 저변동 약한 우위 — 결과가 달라도 그대로 보고, 튜닝 금지
# C2 52주 고점 근사: 일별 종가(2025-07~) + 그 이전 구간은 월말 종가 12개월 최고 혼합 — 순수 일별 고점 아님
# KOSPI: 베이스 월평균 10.4종목, C1 분할제외(PBR 결측·0이하) 월평균 1.3, C3 분할제외(12개월 창 미완비) 월평균 0.3
# KOSDAQ: 베이스 월평균 8.2종목, C1 분할제외(PBR 결측·0이하) 월평균 0.3, C3 분할제외(12개월 창 미완비) 월평균 0.5
시장,전략,보유개월,진입횟수,평균종목수,승률_vs시장,승률_vs랜덤,평균수익률%,평균초과_시장%p,평균초과_랜덤%p,평균초과_랜덤_비용후%p,누적배수(중첩단순),최악의달,만기누락합,표본희박
KOSDAQ,베이스,1,123,8.2,39.8,33.3,-1.99,-2.38,-3.12,-3.42,0.05,2024-06 (-30.2%),1,True
KOSDAQ,C1_저PBR,1,104,2.5,39.4,36.5,-1.61,-2.06,-3.27,-3.57,0.07,2020-02 (-30.9%),0,True
KOSDAQ,C1_고PBR,1,120,6.0,38.3,30.0,-2.21,-2.59,-3.72,-4.02,0.04,2024-06 (-30.2%),1,True
KOSDAQ,C2_고점근처,1,109,6.2,36.7,33.0,-1.65,-2.25,-3.11,-3.41,0.1,2024-06 (-30.2%),1,True
KOSDAQ,C2_낙폭,1,96,2.7,35.4,32.3,-2.84,-3.77,-4.95,-5.25,0.01,2020-02 (-67.1%),0,True
KOSDAQ,C3_저변동,1,98,3.0,45.9,40.8,-0.15,-0.47,-1.95,-2.25,0.42,2026-04 (-34.3%),0,True
KOSDAQ,C3_고변동,1,114,5.0,37.7,32.5,-3.3,-3.84,-4.51,-4.81,0.01,2024-06 (-30.2%),1,True
KOSDAQ,베이스,6,118,8.2,43.2,33.1,3.19,0.22,-3.54,-3.84,0.57,2024-06 (-54.5%),5,True
KOSDAQ,C1_저PBR,6,101,2.5,44.6,40.6,12.19,10.5,5.22,4.92,3.43,2019-12 (-81.9%),0,True
KOSDAQ,C1_고PBR,6,115,5.9,33.0,26.1,-0.34,-3.34,-7.8,-8.1,0.01,2024-06 (-54.5%),3,True
KOSDAQ,C2_고점근처,6,105,6.2,42.9,34.3,5.82,1.55,-1.87,-2.17,3.68,2024-06 (-54.5%),4,True
KOSDAQ,C2_낙폭,6,91,2.6,34.1,25.3,18.27,13.99,9.76,9.46,0.0,2019-12 (-81.9%),1,True
KOSDAQ,C3_저변동,6,95,3.1,43.2,40.0,5.62,1.44,-3.73,-4.03,7.0,2022-04 (-44.4%),3,True
KOSDAQ,C3_고변동,6,109,4.9,36.7,35.8,3.69,-0.0,-4.42,-4.72,0.03,2024-06 (-54.5%),2,True
KOSPI,베이스,1,123,10.4,43.9,40.7,0.8,-0.26,-0.51,-0.81,1.74,2022-08 (-16.3%),1,False
KOSPI,C1_저PBR,1,103,3.0,42.7,38.8,0.38,-0.8,-1.14,-1.44,0.88,2022-05 (-21.4%),0,True
KOSPI,C1_고PBR,1,122,6.7,41.0,39.3,0.8,-0.28,-0.61,-0.91,1.47,2022-11 (-18.4%),0,True
KOSPI,C2_고점근처,1,113,7.9,42.5,40.7,0.2,-0.81,-0.81,-1.11,0.87,2020-02 (-15.2%),0,True
KOSPI,C2_낙폭,1,97,2.7,38.1,38.1,-0.15,-1.13,-0.92,-1.22,0.41,2022-08 (-23.9%),1,True
KOSPI,C3_저변동,1,102,3.0,43.1,45.1,0.28,-0.32,-0.41,-0.71,0.94,2023-07 (-23.2%),0,True
KOSPI,C3_고변동,1,114,7.1,39.5,40.4,0.99,-0.11,-0.17,-0.47,1.72,2022-08 (-18.4%),1,True
KOSPI,베이스,6,118,10.4,46.6,43.2,6.3,-0.93,0.52,0.22,90.67,2023-07 (-31.2%),5,False
KOSPI,C1_저PBR,6,99,3.0,41.4,39.4,3.65,-1.75,-1.34,-1.64,4.13,2021-05 (-37.7%),1,True
KOSPI,C1_고PBR,6,117,6.7,43.6,45.3,6.67,-0.08,0.68,0.38,56.56,2023-04 (-33.0%),2,True
KOSPI,C2_고점근처,6,108,8.1,48.1,45.4,8.62,1.53,3.06,2.76,261.36,2018-06 (-32.1%),4,True
KOSPI,C2_낙폭,6,92,2.6,35.9,32.6,-0.71,-6.18,-6.36,-6.66,0.02,2024-04 (-55.9%),1,True
KOSPI,C3_저변동,6,98,3.0,38.8,39.8,0.67,-5.0,-4.39,-4.69,0.21,2023-07 (-51.5%),1,True
KOSPI,C3_고변동,6,109,7.1,48.6,46.8,8.27,1.05,2.05,1.75,213.8,2018-04 (-33.8%),4,True
