# 사전 예상: E1 지지(평상시 H3보다 악화) / E2 유의미하지 않음 — 달라도 그대로 보고, 튜닝 금지
# E1은 수익이 '낮을수록' 가설 지지 (H3 부호 해석과 동일)
# 사용 사건: 36건 (2016-01 이후), 제외: 1건 — M001 스타벅스 5·18 탱크데이 논란
시장,전략,보유개월,초과랜덤_전체%p,초과랜덤_2016~20%p,초과랜덤_2021~26%p,초과랜덤_상위3제거%p,초과랜덤_비용후%p,전구간_생존
KOSDAQ,E1,1,-2.27,0.56,-3.68,-4.09,-2.57,False
KOSDAQ,E1,3,-3.56,-5.38,-2.65,-6.9,-3.86,False
KOSDAQ,E1,6,-9.71,-11.33,-8.86,-13.41,-10.01,False
KOSDAQ,E2,1,0.08,-0.11,0.18,-0.8,-0.22,False
KOSDAQ,E2,3,-3.35,-1.4,-4.33,-4.55,-3.65,False
KOSDAQ,E2,6,-0.48,-4.26,1.5,-3.43,-0.78,False
KOSPI,E1,1,-2.0,-0.22,-2.9,-2.81,-2.3,False
KOSPI,E1,3,-1.96,-2.34,-1.77,-3.36,-2.26,False
KOSPI,E1,6,0.37,-5.78,3.57,-3.57,0.07,False
KOSPI,E2,1,-1.24,-1.07,-1.32,-1.82,-1.54,False
KOSPI,E2,3,-0.62,-0.91,-0.48,-2.52,-0.92,False
KOSPI,E2,6,4.89,0.51,7.17,-1.86,4.59,False
