# 사전 예상: E1 지지(평상시 H3보다 악화) / E2 유의미하지 않음 — 달라도 그대로 보고, 튜닝 금지
# E1은 수익이 '낮을수록' 가설 지지 (H3 부호 해석과 동일)
# 사용 사건: 36건 (2016-01 이후), 제외: 1건 — M001 스타벅스 5·18 탱크데이 논란
시장,전략,보유개월,진입횟수,평균종목수,승률_vs시장,승률_vs랜덤,평균수익률%,평균초과_시장%p,평균초과_랜덤%p,평균초과_랜덤_비용후%p,누적배수(중첩단순),최악의달,만기누락합
KOSDAQ,E1,1,36,30.0,33.3,33.3,1.52,-0.4,-2.27,-2.57,1.42,2018-05 (-15.2%),13
KOSDAQ,E1,3,36,30.0,38.9,25.0,4.37,1.19,-3.56,-3.86,3.05,2018-04 (-18.7%),30
KOSDAQ,E1,6,35,30.0,37.1,25.7,0.78,-2.56,-9.71,-10.01,0.61,2018-04 (-34.8%),49
KOSDAQ,E2,1,36,30.0,63.9,44.4,3.87,1.95,0.08,-0.22,3.6,2026-02 (-8.2%),1
KOSDAQ,E2,3,36,30.0,47.2,33.3,4.58,1.4,-3.35,-3.65,3.93,2018-03 (-17.5%),14
KOSDAQ,E2,6,35,30.0,65.7,37.1,10.01,6.67,-0.48,-0.78,12.2,2018-04 (-31.7%),16
KOSPI,E1,1,36,30.0,47.2,27.8,1.2,0.2,-2.0,-2.3,1.36,2026-02 (-16.7%),0
KOSPI,E1,3,36,30.0,44.4,27.8,3.72,-0.65,-1.96,-2.26,2.9,2018-04 (-15.4%),5
KOSPI,E1,6,35,30.0,48.6,25.7,9.99,3.81,0.37,0.07,12.45,2018-04 (-33.2%),6
KOSPI,E2,1,36,30.0,55.6,33.3,1.96,0.97,-1.24,-1.54,1.8,2026-02 (-14.7%),0
KOSPI,E2,3,36,30.0,61.1,38.9,5.05,0.69,-0.62,-0.92,4.49,2021-08 (-17.3%),0
KOSPI,E2,6,35,30.0,62.9,45.7,14.51,8.34,4.89,4.59,35.11,2018-04 (-30.8%),0
