# F1 스트레스 테스트 — 성과를 깎는 방향만 허용 (상향 튜닝 금지)
# ①만기누락=-100% ②시총 하위 20% 제외(거래대금 미보유로 프록시) ③왕복 1.0%
# 랜덤 벤치마크는 만기누락 제외 방식 유지 → 전략에만 불리한 보수적 비교
시장,전략,변형,평균%p,전반%p,후반%p,상위3제거%p,생존,만기누락합
KOSDAQ,F1,기본,20.99,9.07,32.31,17.5,True,93
KOSDAQ,F1,①최악가정,16.09,4.84,26.78,12.47,True,93
KOSDAQ,F1,③비용1%,19.99,8.07,31.31,16.5,True,93
KOSDAQ,F1,④최악조합,15.09,3.84,25.78,11.47,True,93
KOSDAQ,F1L,기본,0.98,3.0,-0.95,-0.58,False,0
KOSDAQ,F1L,①최악가정,0.98,3.0,-0.95,-0.58,False,0
KOSDAQ,F1L,③비용1%,-0.02,2.0,-1.95,-1.58,False,0
KOSDAQ,F1L,④최악조합,-0.02,2.0,-1.95,-1.58,False,0
KOSPI,F1,기본,5.69,1.61,9.57,3.7,True,14
KOSPI,F1,①최악가정,4.98,0.14,9.57,2.97,True,14
KOSPI,F1,③비용1%,4.69,0.61,8.57,2.7,True,14
KOSPI,F1,④최악조합,3.98,-0.86,8.57,1.97,False,14
KOSPI,F1L,기본,2.71,-0.67,5.93,1.33,False,13
KOSPI,F1L,①최악가정,2.07,-2.0,5.93,0.67,False,13
KOSPI,F1L,③비용1%,1.71,-1.67,4.93,0.33,False,13
KOSPI,F1L,④최악조합,1.07,-3.0,4.93,-0.33,False,13
