# 사전 예상: F1 약한 지지 / F2 지지(최악의 달 큼) / F3 프록시 시험 — 튜닝 금지
# 한계: 관리종목 플래그 미보유로 제외 불가, F3의 ROE는 PBR/PER 프록시임
시장,전략,보유개월,초과랜덤_전체%p,초과랜덤_2016~20%p,초과랜덤_2021~26%p,초과랜덤_상위3제거%p,초과랜덤_비용후%p,전구간_생존
KOSDAQ,F1,1,6.45,5.3,7.34,3.76,6.15,True
KOSDAQ,F1,3,13.93,8.83,17.97,11.62,13.63,True
KOSDAQ,F1,6,21.96,9.09,32.69,18.3,21.66,True
KOSDAQ,F2,1,-2.42,-1.57,-3.06,-3.51,-2.72,False
KOSDAQ,F2,3,-7.15,-5.43,-8.49,-8.8,-7.45,False
KOSDAQ,F2,6,-15.18,-16.7,-13.94,-17.1,-15.48,False
KOSDAQ,F3,1,-0.78,-0.68,-0.85,-1.56,-1.08,False
KOSDAQ,F3,3,-4.72,-3.97,-5.32,-5.38,-5.02,False
KOSDAQ,F3,6,-8.86,-7.96,-9.61,-9.56,-9.16,False
KOSPI,F1,1,2.46,0.46,4.0,0.63,2.16,True
KOSPI,F1,3,7.02,5.1,8.54,2.62,6.72,True
KOSPI,F1,6,5.9,1.47,9.59,3.83,5.6,True
KOSPI,F2,1,-1.06,-1.38,-0.81,-1.73,-1.36,False
KOSPI,F2,3,-1.88,-2.1,-1.71,-3.25,-2.18,False
KOSPI,F2,6,-2.03,-3.94,-0.46,-4.13,-2.33,False
KOSPI,F3,1,-0.71,-0.49,-0.88,-1.04,-1.01,False
KOSPI,F3,3,-1.84,-1.16,-2.37,-2.32,-2.14,False
KOSPI,F3,6,-1.85,-1.61,-2.04,-3.23,-2.15,False
