# 사전 예상: F1 약한 지지 / F2 지지(최악의 달 큼) / F3 프록시 시험 — 튜닝 금지
# 한계: 관리종목 플래그 미보유로 제외 불가, F3의 ROE는 PBR/PER 프록시임
시장,전략,보유개월,진입횟수,평균종목수,승률_vs시장,승률_vs랜덤,평균수익률%,평균초과_시장%p,평균초과_랜덤%p,평균초과_랜덤_비용후%p,누적배수(중첩단순),최악의달,만기누락합
KOSDAQ,F1,1,115,20.0,56.5,54.8,7.77,7.19,6.45,6.15,736.51,2020-02 (-21.4%),32
KOSDAQ,F1,3,113,20.0,69.0,53.1,18.34,16.72,13.93,13.63,5686095.22,2019-12 (-26.4%),55
KOSDAQ,F1,6,110,20.0,71.8,66.4,29.64,26.23,21.96,21.66,18094336382.4,2018-04 (-25.3%),92
KOSDAQ,F2,1,116,20.0,32.8,31.0,-1.12,-1.69,-2.42,-2.72,0.13,2021-12 (-24.9%),10
KOSDAQ,F2,3,114,20.0,28.9,18.4,-2.72,-4.43,-7.15,-7.45,0.01,2026-04 (-39.9%),30
KOSDAQ,F2,6,111,20.0,20.7,11.7,-7.41,-11.18,-15.18,-15.48,0.0,2021-12 (-49.6%),54
KOSDAQ,F3,1,115,20.0,45.2,37.4,0.54,-0.04,-0.78,-1.08,1.17,2022-08 (-21.5%),5
KOSDAQ,F3,3,113,20.0,37.2,23.0,-0.31,-1.93,-4.72,-5.02,0.28,2022-03 (-27.3%),16
KOSDAQ,F3,6,110,20.0,37.3,20.9,-1.18,-4.59,-8.86,-9.16,0.04,2022-03 (-38.9%),33
KOSPI,F1,1,115,20.0,54.8,50.4,3.63,2.48,2.46,2.16,23.97,2018-09 (-19.9%),2
KOSPI,F1,3,113,20.0,54.9,54.9,10.38,6.86,7.02,6.72,3299.9,2019-12 (-27.8%),6
KOSPI,F1,6,110,20.0,65.5,59.1,12.24,5.31,5.9,5.6,26765.12,2018-04 (-31.3%),13
KOSPI,F2,1,116,20.0,44.8,42.2,0.09,-1.04,-1.06,-1.36,0.59,2018-09 (-28.2%),6
KOSPI,F2,3,114,20.0,41.2,36.0,1.47,-2.25,-1.88,-2.18,0.89,2019-12 (-31.0%),18
KOSPI,F2,6,111,20.0,38.7,34.2,4.37,-3.06,-2.03,-2.33,4.58,2018-04 (-36.4%),33
KOSPI,F3,1,115,20.0,47.8,40.9,0.46,-0.69,-0.71,-1.01,1.24,2018-09 (-20.8%),4
KOSPI,F3,3,113,20.0,44.2,34.5,1.52,-2.0,-1.84,-2.14,2.36,2019-12 (-24.8%),8
KOSPI,F3,6,110,20.0,37.3,32.7,4.49,-2.43,-1.85,-2.15,18.69,2022-03 (-31.0%),10
