# 사전 예상: 월 H2(지속성)와 동형 — 서열은 있되 랜덤 미달 (달라도 그대로 보고)
# 한계: 강도 분모는 유통물량이 아닌 상장주식수 근사
# 한계: 일별 데이터 2025-07~ → 진입 표본 ~10회, 전부 후반 구간 — 기간 분할 무의미
시장,전략,보유,진입월,종목수,만기누락,수익률,시장프록시,랜덤평균,최대진입일수,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSPI,B1,1,2025-08,20,0,0.042589931530060035,0.07639992366966193,0.016091858558695646,9,-0.0338099921396019,0.02649807297136439,0.03958993153006003,0.023498072971364387
KOSPI,B1,3,2025-08,20,0,0.10597842080978186,0.24781581730992858,0.05295276443380763,9,-0.1418373965001467,0.05302565637597423,0.10297842080978185,0.050025656375974226
KOSPI,B2,1,2025-08,20,0,0.7224228453604352,0.07639992366966193,0.016091858558695646,10,0.6460229216907732,0.7063309868017396,0.7194228453604352,0.7033309868017396
KOSPI,B2,3,2025-08,20,0,0.25502190626841414,0.24781581730992858,0.05295276443380763,10,0.007206088958485568,0.2020691418346065,0.25202190626841414,0.1990691418346065
KOSPI,B1,1,2025-09,20,0,0.08775822480969389,0.20101698141499327,0.02314564638518648,11,-0.11325875660529938,0.0646125784245074,0.08475822480969389,0.06161257842450741
KOSPI,B1,3,2025-09,20,0,-0.0002608250725163297,0.2443147056232519,0.08762385346140501,11,-0.2445755306957682,-0.08788467853392135,-0.00326082507251633,-0.09088467853392135
KOSPI,B2,1,2025-09,20,0,0.03430926906866776,0.20101698141499327,0.02314564638518648,9,-0.1667077123463255,0.011163622683481284,0.03130926906866776,0.00816362268348128
KOSPI,B2,3,2025-09,20,0,0.05724566755139786,0.2443147056232519,0.08762385346140501,9,-0.18706903807185404,-0.030378185910007155,0.054245667551397855,-0.03337818591000716
KOSPI,B1,1,2025-10,20,0,0.01561535134589676,-0.0348505948926755,0.0037596601931999783,10,0.050465946238572264,0.011855691152696782,0.01261535134589676,0.008855691152696781
KOSPI,B1,3,2025-10,20,0,0.11085040691987365,0.2852761051187826,0.09218593229909602,10,-0.17442569819890896,0.018664474620777624,0.10785040691987365,0.01566447462077762
KOSPI,B2,1,2025-10,20,0,0.05125125981745884,-0.0348505948926755,0.0037596601931999783,9,0.08610185471013435,0.04749159962425886,0.048251259817458834,0.04449159962425886
KOSPI,B2,3,2025-10,20,0,0.30129622522226873,0.2852761051187826,0.09218593229909602,9,0.016020120103486135,0.2091102929231727,0.29829622522226873,0.2061102929231727
KOSPI,B1,1,2025-11,20,0,0.04499382624133513,0.07550730777192712,0.04475565609187051,13,-0.030513481530591982,0.00023817014946462406,0.04199382624133513,-0.0027618298505353786
KOSPI,B1,3,2025-11,20,0,0.22004867116171017,0.5969636246376133,0.21860215193762322,13,-0.37691495347590315,0.0014465192240869507,0.21704867116171017,-0.001553480775913052
