# 사전 예상: H1 약한 지지 / H2 반반 / H3 지지 (결과가 달라도 그대로 보고 — 튜닝 금지)
# H1 레짐 발생: KOSPI 26회, KOSDAQ 26회
시장,전략,보유,진입월,종목수,만기누락,수익률,시장프록시,랜덤평균,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSPI,H2i,1,2016-04,20,0,-0.013208144590737986,-0.004818683863067559,0.016550759345702427,-0.008389460727670427,-0.029758903936440415,-0.016208144590737987,-0.03275890393644042
KOSPI,H2ii,1,2016-04,2,0,0.06928758429626569,-0.004818683863067559,0.06515680096833432,0.07410626815933324,0.0041307833279313755,0.06628758429626569,0.0011307833279313728
KOSPI,H3,1,2016-04,20,0,-0.035134236377671255,-0.004818683863067559,0.016550759345702427,-0.030315552514603696,-0.05168499572337368,-0.03813423637767126,-0.05468499572337368
KOSPI,H2i,3,2016-04,20,0,-0.025800493585637286,0.014219417844670628,0.0340430470178631,-0.04001991143030791,-0.05984354060350039,-0.028800493585637285,-0.06284354060350039
KOSPI,H2ii,3,2016-04,2,0,0.04101737904608466,0.014219417844670628,0.049247453264740504,0.026797961201414026,-0.008230074218655847,0.038017379046084654,-0.01123007421865585
KOSPI,H3,3,2016-04,20,0,-0.05666247502638026,0.014219417844670628,0.0340430470178631,-0.07088189287105089,-0.09070552204424337,-0.059662475026380266,-0.09370552204424337
KOSPI,H1,6,2016-04,0,0,,0.011306522727304385,,,,,
KOSPI,H2i,6,2016-04,20,0,-0.0958042084439148,0.011306522727304385,-0.01225061236467791,-0.10711073117121918,-0.08355359607923689,-0.0988042084439148,-0.08655359607923689
KOSPI,H2ii,6,2016-04,2,0,0.13585373951569446,0.011306522727304385,-0.0434723440430428,0.12454721678839008,0.17932608355873725,0.13285373951569446,0.17632608355873725
KOSPI,H3,6,2016-04,20,0,-0.026074449910822427,0.011306522727304385,-0.01225061236467791,-0.037380972638126814,-0.013823837546144517,-0.029074449910822427,-0.016823837546144516
KOSPI,H2i,1,2016-05,20,0,-0.014401536512811392,-0.004888993607062026,-0.009342478402524916,-0.009512542905749367,-0.005059058110286476,-0.017401536512811393,-0.008059058110286477
KOSPI,H2ii,1,2016-05,1,0,-0.07400722021660655,-0.004888993607062026,0.033842068326937695,-0.06911822660954453,-0.10784928854354425,-0.07700722021660655,-0.11084928854354426
