# 사전 예상: H1 약한 지지 / H2 반반 / H3 지지 (결과가 달라도 그대로 보고 — 튜닝 금지)
# H1 레짐 발생: KOSPI 26회, KOSDAQ 26회
시장,전략,보유개월,초과랜덤_전체%p,초과랜덤_2016~20%p,초과랜덤_2021~26%p,초과랜덤_상위3제거%p,초과랜덤_비용후%p,전구간_생존
KOSDAQ,H1,6,6.83,-3.15,18.8,-6.31,6.53,False
KOSDAQ,H2i,1,-0.43,-0.99,0.05,-1.67,-0.73,False
KOSDAQ,H2i,3,-2.19,-1.88,-2.47,-4.09,-2.49,False
KOSDAQ,H2i,6,-1.92,-3.89,-0.07,-3.79,-2.22,False
KOSDAQ,H2ii,1,-0.6,-0.68,-0.54,-2.38,-0.9,False
KOSDAQ,H2ii,3,-2.94,-3.43,-2.53,-5.86,-3.24,False
KOSDAQ,H2ii,6,-6.93,-5.8,-7.92,-9.34,-7.23,False
KOSDAQ,H3,1,-1.03,-1.45,-0.67,-2.84,-1.33,False
KOSDAQ,H3,3,-2.62,-5.79,0.21,-4.75,-2.92,False
KOSDAQ,H3,6,-2.32,-6.77,1.84,-5.47,-2.62,False
KOSPI,H1,6,6.01,18.78,-1.65,-3.1,5.71,False
KOSPI,H2i,1,-0.1,-0.38,0.14,-0.54,-0.4,False
KOSPI,H2i,3,-0.08,-1.53,1.22,-0.87,-0.38,False
KOSPI,H2i,6,0.5,-3.09,3.85,-0.75,0.2,False
KOSPI,H2ii,1,-1.36,-1.97,-0.84,-2.42,-1.66,False
KOSPI,H2ii,3,0.48,-1.55,2.28,-2.14,0.18,False
KOSPI,H2ii,6,-0.15,0.32,-0.59,-4.24,-0.45,False
KOSPI,H3,1,-1.52,-0.42,-2.47,-2.11,-1.82,False
KOSPI,H3,3,-3.58,-2.25,-4.76,-4.69,-3.88,False
KOSPI,H3,6,-0.93,1.48,-3.18,-3.37,-1.23,False
