# 사전 예상: H1 약한 지지 / H2 반반 / H3 지지 (결과가 달라도 그대로 보고 — 튜닝 금지)
# H1 레짐 발생: KOSPI 26회, KOSDAQ 26회
시장,전략,보유개월,진입횟수,평균종목수,승률_vs시장,승률_vs랜덤,평균수익률%,평균초과_시장%p,평균초과_랜덤%p,평균초과_랜덤_비용후%p,누적배수(중첩단순),최악의달,만기누락합
KOSDAQ,H1,6,22,20.0,45.5,40.9,18.31,11.03,6.83,6.53,12.96,2022-06 (-22.9%),3
KOSDAQ,H2i,1,123,20.0,42.3,36.6,0.87,0.47,-0.43,-0.73,1.3,2018-09 (-23.3%),6
KOSDAQ,H2i,3,121,20.0,43.0,32.2,2.02,0.71,-2.19,-2.49,2.1,2026-04 (-31.4%),13
KOSDAQ,H2i,6,118,20.0,50.8,34.7,5.28,2.3,-1.92,-2.22,30.37,2022-04 (-37.9%),15
KOSDAQ,H2ii,1,119,4.0,43.7,39.5,0.52,0.02,-0.6,-0.9,0.4,2026-05 (-37.0%),0
KOSDAQ,H2ii,3,117,4.0,37.6,36.8,0.78,-0.62,-2.94,-3.24,0.1,2020-12 (-39.7%),0
KOSDAQ,H2ii,6,114,4.0,37.7,28.9,-0.05,-3.27,-6.93,-7.23,0.01,2024-03 (-45.5%),0
KOSDAQ,H3,1,123,20.0,35.8,32.5,0.27,-0.13,-1.03,-1.33,0.43,2018-09 (-25.7%),24
KOSDAQ,H3,3,121,20.0,34.7,29.8,1.59,0.29,-2.62,-2.92,0.45,2019-12 (-38.9%),67
KOSDAQ,H3,6,118,20.0,39.8,31.4,4.88,1.9,-2.32,-2.62,1.74,2018-04 (-40.3%),110
KOSPI,H1,6,24,20.0,54.2,29.2,13.86,6.78,6.01,5.71,6.37,2021-09 (-21.6%),1
KOSPI,H2i,1,123,20.0,43.1,43.1,1.07,0.02,-0.1,-0.4,2.62,2020-02 (-16.3%),0
KOSPI,H2i,3,121,20.0,46.3,41.3,3.29,-0.28,-0.08,-0.38,17.85,2023-07 (-24.6%),1
KOSPI,H2i,6,118,20.0,44.9,37.3,6.74,-0.49,0.5,0.2,238.79,2021-05 (-23.5%),5
KOSPI,H2ii,1,121,3.6,40.5,36.4,-0.35,-1.31,-1.36,-1.66,0.3,2022-08 (-23.1%),0
KOSPI,H2ii,3,119,3.6,37.8,38.7,3.69,0.03,0.48,0.18,5.25,2019-12 (-35.2%),0
KOSPI,H2ii,6,116,3.6,41.4,36.2,6.39,-0.78,-0.15,-0.45,5.45,2017-12 (-58.8%),1
KOSPI,H3,1,123,20.0,42.3,34.1,-0.34,-1.4,-1.52,-1.82,0.38,2018-09 (-23.7%),6
KOSPI,H3,3,121,20.0,28.9,26.4,-0.21,-3.78,-3.58,-3.88,0.22,2026-04 (-32.1%),12
KOSPI,H3,6,118,20.0,40.7,29.7,5.31,-1.92,-0.93,-1.23,14.93,2018-04 (-39.1%),18
