시장,전략,보유개월,초과랜덤_전체%p,초과랜덤_2016~20%p,초과랜덤_2021~26%p,초과랜덤_상위3제거%p,초과랜덤_비용후%p,전구간_생존
KOSDAQ,a,1,-1.3,-1.95,-0.74,-2.01,-1.6,False
KOSDAQ,a,3,-2.9,-4.02,-1.91,-4.4,-3.2,False
KOSDAQ,a,6,-2.8,-5.08,-0.68,-5.09,-3.1,False
KOSDAQ,b,1,-1.68,-1.87,-1.52,-2.2,-1.98,False
KOSDAQ,b,3,-2.83,-4.76,-1.1,-4.7,-3.13,False
KOSDAQ,b,6,-3.49,-5.97,-1.17,-6.68,-3.79,False
KOSDAQ,c,1,-1.82,-1.46,-2.13,-2.87,-2.12,False
KOSDAQ,c,3,-1.85,-4.34,0.35,-4.68,-2.15,False
KOSDAQ,c,6,-2.53,-4.54,-0.66,-6.8,-2.83,False
KOSDAQ,d,1,-3.61,-2.46,-4.6,-4.17,-3.91,False
KOSDAQ,d,3,-3.66,-5.62,-1.92,-7.43,-3.96,False
KOSDAQ,d,6,-0.76,0.71,-2.13,-8.24,-1.06,False
KOSDAQ,dp,1,-1.64,-1.9,-1.42,-2.38,-1.94,False
KOSDAQ,dp,3,-3.9,-6.31,-1.78,-5.39,-4.2,False
KOSDAQ,dp,6,-6.62,-9.18,-4.28,-8.53,-6.92,False
KOSPI,a,1,0.14,-1.0,1.12,-0.33,-0.16,False
KOSPI,a,3,-0.23,-1.63,1.03,-1.17,-0.53,False
KOSPI,a,6,2.4,-2.38,6.87,-0.21,2.1,False
KOSPI,b,1,-0.6,-0.24,-0.91,-0.94,-0.9,False
KOSPI,b,3,-0.39,0.13,-0.86,-1.05,-0.69,False
KOSPI,b,6,2.93,3.59,2.31,0.06,2.63,True
KOSPI,c,1,0.56,-0.74,1.51,-0.96,0.26,False
KOSPI,c,3,-0.46,-0.95,-0.08,-3.5,-0.76,False
KOSPI,c,6,2.61,-1.92,6.22,-1.96,2.31,False
KOSPI,d,1,-0.37,1.1,-1.65,-1.33,-0.67,False
KOSPI,d,3,0.12,2.29,-1.82,-1.86,-0.18,False
KOSPI,d,6,3.51,7.15,0.12,-0.98,3.21,False
KOSPI,dp,1,-1.21,-1.29,-1.14,-1.68,-1.51,False
KOSPI,dp,3,-0.95,-0.95,-0.95,-1.91,-1.25,False
KOSPI,dp,6,5.16,8.91,1.72,-0.62,4.86,False
