시장,전략,보유개월,진입횟수,평균종목수,승률_vs시장,승률_vs랜덤,평균수익률%,평균초과_시장%p,평균초과_랜덤%p,누적배수(중첩단순),최악의달,만기누락합
KOSDAQ,a,1,123,11.8,48.0,37.4,0.2,-0.2,-1.3,0.69,2022-05 (-25.2%),3
KOSDAQ,a,3,121,11.7,40.5,38.0,1.06,-0.24,-2.9,0.66,2026-04 (-31.9%),6
KOSDAQ,a,6,118,11.5,39.0,34.7,4.1,1.13,-2.8,3.22,2024-10 (-43.2%),8
KOSDAQ,b,1,123,20.0,39.8,31.7,-0.38,-0.78,-1.68,0.36,2026-05 (-27.6%),4
KOSDAQ,b,3,121,20.0,36.4,24.0,1.38,0.08,-2.83,0.72,2018-07 (-27.2%),19
KOSDAQ,b,6,118,20.0,37.3,28.8,3.71,0.73,-3.49,1.86,2021-12 (-37.8%),24
KOSDAQ,c,1,117,4.2,41.9,41.0,-0.2,-0.65,-1.82,0.28,2022-05 (-35.2%),3
KOSDAQ,c,3,115,4.2,37.4,35.7,2.09,0.94,-1.85,0.46,2024-07 (-31.0%),5
KOSDAQ,c,6,112,4.2,40.2,28.6,5.2,2.58,-2.53,0.61,2023-06 (-42.6%),5
KOSPI,a,1,123,7.1,49.6,52.0,1.08,0.02,0.14,2.09,2024-09 (-24.8%),1
KOSPI,a,3,121,7.0,46.3,44.6,3.18,-0.39,-0.23,9.99,2024-09 (-50.0%),2
KOSPI,a,6,118,6.7,44.1,39.8,8.23,1.0,2.4,154.35,2024-09 (-43.8%),5
KOSPI,b,1,123,20.0,44.7,39.8,0.58,-0.48,-0.6,1.4,2022-08 (-18.7%),3
KOSPI,b,3,121,20.0,43.0,41.3,2.97,-0.6,-0.39,11.35,2023-07 (-34.2%),5
KOSPI,b,6,118,20.0,45.8,44.9,9.16,1.93,2.93,1051.28,2023-07 (-33.9%),11
KOSPI,c,1,111,3.0,45.9,45.9,1.48,0.51,0.56,1.71,2022-08 (-25.5%),1
KOSPI,c,3,109,3.0,40.4,40.4,2.87,-0.81,-0.46,1.83,2026-04 (-35.7%),2
KOSPI,c,6,106,3.0,45.3,36.8,8.22,1.59,2.61,13.71,2024-06 (-51.6%),3
