# 기관 3일 연속 순매수 → D+1 종가 매수 → 5거래일 보유, 왕복비용 0.30%, 기간 2025-07-14~2026-07-16, 대조군 20회 평균 (승률 sd 0.23, 평균 sd 0.251). 종가 기준(시가 없음)·상폐 생존편향·단일 장세 한계 있음
구분,트레이드수,승률%,평균수익%,중앙값%,표준편차%,t통계량
2025-07,2425,29.57,-1.726,-1.971,6.077,-13.99
2025-08,3787,41.54,-0.269,-0.707,6.32,-2.62
2025-09,4554,48.75,0.965,-0.098,7.275,8.95
2025-10,3210,39.78,-0.138,-0.845,7.375,-1.06
2025-11,3941,49.23,0.111,-0.107,8.414,0.83
2025-12,4389,38.92,-0.013,-1.031,8.12,-0.11
2026-01,3867,52.68,2.658,0.302,12.451,13.28
2026-02,3644,45.69,-0.844,-0.724,10.982,-4.64
2026-03,4092,43.35,0.044,-0.861,10.54,0.26
2026-04,4201,56.51,2.641,1.018,10.66,16.06
2026-05,2881,23.85,-4.506,-5.206,12.438,-19.44
2026-06,3716,42.28,-2.033,-1.763,11.316,-10.95
2026-07,1773,30.85,-4.042,-2.856,8.489,-20.05
