# 기관 연속 순매수 스윕. D+1 종가 진입, 왕복비용 0.30%, 기간 2025-07-14~2026-07-16, 대조군 20회 평균. 종가 기준·상폐 생존편향·단일 장세 한계
연속일,보유일,N,승률%,평균%,비용전평균%,중앙값%,t,대조승률%,대조평균%,승률초과%p,평균초과%p
2,1,75961,40.44,-0.26,0.04,-0.418,-16.26,36.73,-0.104,3.71,-0.156
2,3,75261,42.93,-0.198,0.102,-0.549,-7.32,39.08,0.217,3.85,-0.415
2,5,74450,43.39,-0.143,0.157,-0.681,-4.0,39.38,0.459,4.01,-0.603
2,10,72561,42.31,-0.181,0.119,-1.216,-3.52,38.89,1.137,3.42,-1.319
2,20,69437,43.31,1.065,1.365,-1.489,11.01,39.28,2.769,4.04,-1.704
3,1,47523,40.34,-0.269,0.031,-0.425,-13.4,36.73,-0.104,3.61,-0.164
3,3,47056,42.92,-0.213,0.087,-0.575,-6.27,39.08,0.217,3.85,-0.43
3,5,46480,43.22,-0.217,0.083,-0.736,-4.8,39.38,0.459,3.84,-0.677
3,10,45224,42.14,-0.265,0.035,-1.309,-4.13,38.89,1.137,3.25,-1.403
3,20,43327,42.95,0.605,0.905,-1.603,5.72,39.28,2.769,3.67,-2.164
4,1,32543,40.68,-0.266,0.034,-0.411,-11.19,36.73,-0.104,3.95,-0.161
4,3,32198,42.94,-0.229,0.071,-0.591,-5.67,39.08,0.217,3.87,-0.446
4,5,31793,43.06,-0.268,0.032,-0.747,-5.01,39.38,0.459,3.68,-0.728
4,10,30831,42.04,-0.315,-0.015,-1.331,-4.11,38.89,1.137,3.15,-1.453
4,20,29569,42.7,0.532,0.832,-1.636,4.23,39.28,2.769,3.42,-2.237
5,1,23476,41.06,-0.232,0.068,-0.386,-8.52,36.73,-0.104,4.33,-0.128
5,3,23208,42.89,-0.262,0.038,-0.579,-5.59,39.08,0.217,3.81,-0.479
5,5,22918,42.97,-0.333,-0.033,-0.752,-5.36,39.38,0.459,3.59,-0.792
5,10,22178,41.99,-0.383,-0.083,-1.322,-4.32,38.89,1.137,3.1,-1.521
5,20,21242,42.69,0.498,0.798,-1.619,3.35,39.28,2.769,3.42,-2.271
