코드,회사명,외인지분율_최근,PBR_최근,시가총액_억,종가_최근,수급동행,지분율기준_6m,변화폭_6m,순위_6m,순매수억_외국인_6m,순매수억_기관_6m,순매수억_개인_6m,순매수억_사모_6m,주가등락pct_6m,주식수변동pct_6m,장외변동pct_6m,개인강도순위_6m,플래그_개인몰림_6m,강도pct_6m,강도순위_6m,플래그_주식수변동_6m,플래그_장외변동_6m,플래그_기관동반_6m,플래그_개인순매도_6m,지분율기준_3m,변화폭_3m,순위_3m,순매수억_외국인_3m,순매수억_기관_3m,순매수억_개인_3m,순매수억_사모_3m,주가등락pct_3m,주식수변동pct_3m,장외변동pct_3m,개인강도순위_3m,플래그_개인몰림_3m,강도pct_3m,강도순위_3m,플래그_주식수변동_3m,플래그_장외변동_3m,플래그_기관동반_3m,플래그_개인순매도_3m,지분율기준_1m,변화폭_1m,순위_1m,순매수억_외국인_1m,순매수억_기관_1m,순매수억_개인_1m,순매수억_사모_1m,주가등락pct_1m,주식수변동pct_1m,장외변동pct_1m,개인강도순위_1m,플래그_개인몰림_1m,강도pct_1m,강도순위_1m,플래그_주식수변동_1m,플래그_장외변동_1m,플래그_기관동반_1m,플래그_개인순매도_1m,지분율기준_1w,변화폭_1w,순위_1w,순매수억_외국인_1w,순매수억_기관_1w,순매수억_개인_1w,순매수억_사모_1w,주가등락pct_1w,주식수변동pct_1w,장외변동pct_1w,개인강도순위_1w,플래그_개인몰림_1w,강도pct_1w,강도순위_1w,플래그_주식수변동_1w,플래그_장외변동_1w,플래그_기관동반_1w,플래그_개인순매도_1w,강도유형
0001A0,덕양에너젠,2.279296875,3.34,2025.0,7950.0,,,,,-94.7,-905.3,1112.7,-585.7,,,,,False,,,False,False,False,False,1.01953125,1.26,332,1.7,-176.1,176.3,-138.9,-55.49,2.73,0.31,113,False,1.064,363,True,False,False,False,1.8896484375,0.39,513,13.1,-8.7,-7.7,-8.9,-28.05,2.32,-0.17,,False,0.619,367,True,False,False,True,2.220703125,0.06,693,1.4,1.0,-2.2,-0.3,-1.73,0.0,0.01,,False,0.064,688,False,False,True,True,지속
000250,삼천당제약,7.58984375,15.51,43185.0,184100.0,,3.650390625,3.94,156,5451.1,-1996.7,-3388.6,-824.9,-27.38,0.0,-1.25,,False,5.186,100,False,True,False,True,6.44140625,1.15,350,741.6,-733.9,-67.8,-115.4,-63.54,0.0,-0.35,,False,1.501,283,False,False,False,True,6.859375,0.73,329,281.6,267.6,-546.6,-71.6,-30.53,0.0,0.15,,False,0.591,384,False,False,True,True,7.41015625,0.18,416,31.3,-20.6,-23.8,-17.8,-4.56,0.0,0.1,,False,0.081,622,False,False,False,True,지속
000440,중앙에너비스,2.830078125,1.19,869.0,13950.0,,1.4599609375,1.37,441,-4.7,0.0,5.5,0.0,-14.84,0.0,-0.15,,False,1.545,418,False,False,False,False,3.189453125,-0.36,1099,-10.3,0.0,10.3,,-34.97,0.0,0.11,656,False,-0.451,1132,False,False,False,False,3.05078125,-0.22,1321,-5.0,0.0,5.0,,-9.42,0.0,0.23,328,False,-0.446,1423,False,False,False,False,2.880859375,-0.05,1326,-2.3,-0.0,2.3,,1.01,0.0,0.16,255,False,-0.214,1512,False,False,False,False,
0004V0,엔비알모션,7.80859375,1.63,592.0,5380.0,,1.6796875,6.13,68,17.2,-381.8,466.6,19.8,-73.07,5.82,0.37,5,True,6.128,65,True,False,False,False,5.44140625,2.37,203,-62.4,-102.4,181.8,18.1,-74.44,5.82,0.81,17,True,2.012,231,True,False,False,False,2.849609375,4.96,14,31.5,-31.7,3.2,-0.9,-53.7,5.82,0.66,152,False,4.76,15,True,False,False,False,4.44921875,3.36,2,17.2,-30.0,15.1,,-16.46,0.0,0.64,9,True,2.722,3,False,False,False,False,
0004Y0,디비금융제14호스팩,0.320068359375,0.0,106.0,1999.0,,0.3798828125,-0.06,1101,-0.1,-3.3,2.8,-2.2,-0.79,0.0,-0.09,237,False,-0.061,1120,False,False,False,False,0.320068359375,0.0,771,0.0,-3.3,3.2,-3.0,-2.49,0.0,-0.1,151,False,-0.0,803,False,False,False,False,0.320068359375,0.0,913,-0.0,-1.8,1.7,-2.2,-0.55,0.0,-0.09,91,False,-0.001,959,False,False,False,False,0.340087890625,-0.02,1215,-0.0,-0.6,0.5,-0.6,-0.55,0.0,-0.05,116,False,-0.004,1046,False,False,False,False,
0007C0,아크릴,5.6796875,2.79,1221.0,15200.0,,3.400390625,2.28,296,22.8,-175.6,365.1,-117.1,-44.93,0.63,0.19,29,False,2.074,325,False,False,False,False,3.890625,1.79,262,31.9,-17.0,1.5,-23.6,-61.52,0.0,-0.6,,False,2.404,189,False,False,False,False,3.0703125,2.61,60,34.5,-8.7,-28.1,-8.1,-32.14,0.0,0.04,,False,2.578,60,False,False,False,True,5.3203125,0.36,206,2.0,-1.8,-0.2,-0.1,0.4,0.0,0.21,,False,0.156,406,False,False,False,True,
0007J0,인벤테라,4.98046875,3.58,603.0,7670.0,,,,,16.6,-214.4,485.9,-61.8,,,,,False,,,False,False,False,False,1.0595703125,3.92,98,22.3,-60.5,72.7,-39.9,-68.37,0.0,0.86,117,False,3.218,135,False,False,False,False,4.21875,0.76,317,6.0,-6.2,1.0,-5.6,-31.4,0.0,-0.06,452,False,0.877,260,False,False,False,False,4.76953125,0.21,368,0.4,0.1,-0.5,0.1,-5.66,0.0,0.15,,False,0.065,682,False,False,True,True,지속
0008Z0,에스엔시스,7.6015625,1.19,2057.0,21800.0,,7.73046875,-0.13,1136,53.7,37.7,-173.4,-2.6,-35.22,0.0,-1.07,,False,0.903,588,False,True,True,True,7.26953125,0.33,569,58.9,73.6,-141.4,19.8,-32.4,0.0,-0.73,,False,1.046,368,False,False,True,True,8.4609375,-0.86,1633,-16.7,0.9,13.0,0.5,-23.78,0.0,-0.27,353,False,-0.624,1502,False,False,True,False,7.21875,0.38,189,1.5,1.1,-2.9,,6.86,0.0,0.31,,False,0.075,651,False,False,True,True,
0009K0,에임드바이오,1.9599609375,7.05,13678.0,21150.0,,0.239990234375,1.72,376,459.8,319.5,698.2,-737.9,-62.03,0.8,-0.25,240,False,1.986,346,False,False,True,False,1.2197265625,0.74,437,106.1,-452.8,348.4,-214.8,-58.77,0.0,-0.0,377,False,0.73,432,False,False,False,False,2.01953125,-0.06,1142,-4.3,15.3,-9.4,-30.1,-26.05,0.0,-0.01,,False,-0.021,1006,False,False,True,True,1.91015625,0.05,725,14.2,-8.5,-6.0,-3.1,-9.81,0.0,-0.05,,False,0.097,574,False,False,False,True,지속
001000,신라섬유,5.55078125,1.61,233.0,960.0,,4.66015625,0.89,564,0.5,-0.0,-1.5,,-55.24,0.0,0.55,,False,0.395,795,False,False,False,True,5.71875,-0.17,978,-4.9,-0.0,4.6,,-52.83,0.0,0.46,612,False,-0.661,1242,False,False,False,False,4.46875,1.08,218,0.3,-0.0,-0.5,,-29.67,0.0,0.51,,False,0.524,424,False,False,False,True,5.16015625,0.39,176,-1.0,-0.0,0.9,,21.83,0.0,0.75,185,False,-0.361,1590,False,False,False,False,스파이크
