코드,회사명,외인지분율_최근,PBR_최근,시가총액_억,종가_최근,수급동행,지분율기준_6m,변화폭_6m,순위_6m,순매수억_외국인_6m,순매수억_기관_6m,순매수억_개인_6m,순매수억_사모_6m,주가등락pct_6m,주식수변동pct_6m,장외변동pct_6m,개인강도순위_6m,플래그_개인몰림_6m,강도pct_6m,강도순위_6m,플래그_주식수변동_6m,플래그_장외변동_6m,플래그_기관동반_6m,플래그_개인순매도_6m,지분율기준_3m,변화폭_3m,순위_3m,순매수억_외국인_3m,순매수억_기관_3m,순매수억_개인_3m,순매수억_사모_3m,주가등락pct_3m,주식수변동pct_3m,장외변동pct_3m,개인강도순위_3m,플래그_개인몰림_3m,강도pct_3m,강도순위_3m,플래그_주식수변동_3m,플래그_장외변동_3m,플래그_기관동반_3m,플래그_개인순매도_3m,지분율기준_1m,변화폭_1m,순위_1m,순매수억_외국인_1m,순매수억_기관_1m,순매수억_개인_1m,순매수억_사모_1m,주가등락pct_1m,주식수변동pct_1m,장외변동pct_1m,개인강도순위_1m,플래그_개인몰림_1m,강도pct_1m,강도순위_1m,플래그_주식수변동_1m,플래그_장외변동_1m,플래그_기관동반_1m,플래그_개인순매도_1m,지분율기준_1w,변화폭_1w,순위_1w,순매수억_외국인_1w,순매수억_기관_1w,순매수억_개인_1w,순매수억_사모_1w,주가등락pct_1w,주식수변동pct_1w,장외변동pct_1w,개인강도순위_1w,플래그_개인몰림_1w,강도pct_1w,강도순위_1w,플래그_주식수변동_1w,플래그_장외변동_1w,플래그_기관동반_1w,플래그_개인순매도_1w,강도유형,수급동행r
000020,동화약품,2.099609375,0.42,1603.0,5740.0,상,3.01953125,-0.92,768,-20.6,-7.0,20.5,-0.2,-4.97,0.0,0.3,186,False,-1.18,790,False,False,False,False,2.869140625,-0.77,712,-24.0,-0.1,25.1,-0.0,-4.97,0.0,0.62,160,False,-1.344,806,False,False,False,False,2.25,-0.15,672,-10.9,-1.5,18.7,-0.0,6.89,0.0,0.4,71,False,-0.514,799,False,False,False,False,2.470703125,-0.37,887,-12.8,0.5,18.7,0.0,15.49,0.0,0.31,22,False,-0.654,876,False,False,True,False,,0.415
000040,KR모터스,30.0625,0.53,231.0,267.0,하,29.78125,0.28,430,1.0,-0.7,-0.7,-0.0,-33.91,0.0,-0.35,,False,0.515,337,False,False,False,True,30.015625,0.05,393,-0.4,0.0,0.0,-0.0,-41.45,0.0,-0.1,,False,0.043,361,False,False,False,False,29.71875,0.34,266,0.8,0.0,-0.9,,-21.24,0.0,-0.06,,False,0.349,232,False,False,False,True,30.0625,0.0,487,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,,-0.118
000050,경방,2.689453125,0.27,2325.0,8480.0,하,1.33984375,1.35,209,35.0,6.2,-5.7,0.1,0.36,0.0,-0.2,,False,1.56,175,False,False,True,True,2.5703125,0.12,363,0.6,-0.7,-3.1,0.1,-13.2,0.0,0.1,,False,0.023,371,False,False,False,True,2.58984375,0.1,413,1.6,-2.3,0.4,0.0,-2.53,0.0,0.02,343,False,0.074,406,False,False,False,False,2.640625,0.05,367,0.1,-0.6,0.5,0.0,5.87,0.0,0.04,243,False,0.007,527,False,False,False,False,,-0.15
000070,삼양홀딩스,8.15625,0.22,4378.0,56400.0,상,7.12890625,1.03,257,66.2,-6.9,-41.8,7.7,-3.26,0.0,-0.16,,False,1.188,214,False,False,False,True,8.46875,-0.31,590,-13.2,-2.5,21.7,12.0,-18.5,0.0,0.01,330,False,-0.323,553,False,False,False,False,8.1484375,0.01,495,-2.3,17.9,-15.5,3.9,-2.42,0.0,0.07,,False,-0.065,594,False,False,True,True,8.2578125,-0.1,773,-3.3,4.3,-1.1,0.8,2.17,0.0,-0.03,,False,-0.075,735,False,False,True,True,스파이크,0.539
000080,하이트진로,6.4609375,0.93,10457.0,14910.0,상,6.23828125,0.22,463,-1.8,-37.4,37.4,-4.4,-16.75,0.0,0.17,317,False,0.03,521,False,False,False,False,5.87890625,0.58,232,52.2,-18.6,-32.4,0.4,-14.8,0.0,0.09,,False,0.487,217,False,False,False,True,6.19921875,0.26,306,28.0,2.5,-30.5,-1.2,-6.87,0.0,-0.01,,False,0.273,278,False,False,True,True,6.5390625,-0.08,749,5.5,1.9,-7.2,-1.0,-3.18,0.0,-0.13,,False,0.05,403,False,False,True,True,,0.451
000087,하이트진로2우B,2.05078125,0.0,140.0,12350.0,중,1.2099609375,0.84,291,0.0,-0.3,-0.9,,-14.59,0.0,0.8,,False,0.015,528,False,False,False,True,1.2998046875,0.75,202,0.0,0.0,-0.2,,-12.54,0.0,0.72,,False,0.003,386,False,False,False,True,1.66015625,0.39,244,-0.0,0.0,0.0,,-4.63,0.0,0.39,320,False,-0.011,523,False,False,False,False,1.6103515625,0.44,50,-0.0,-0.1,0.1,,0.82,0.0,0.45,162,False,-0.01,608,False,False,False,False,,0.162
000100,유한양행,19.3125,2.29,56391.0,70800.0,상,16.453125,2.86,92,1724.3,-1595.4,-70.3,-376.1,-34.57,-0.4,0.87,371,False,1.929,141,False,False,False,True,18.828125,0.48,243,-364.7,-461.0,734.4,-38.6,-27.53,0.0,0.93,225,False,-0.448,600,False,False,False,False,18.359375,0.95,89,181.2,-39.8,-210.5,-24.1,-9.58,0.0,0.64,,False,0.315,255,False,False,False,True,19.1875,0.12,246,100.9,-0.4,-67.3,-9.5,5.04,0.0,-0.06,,False,0.182,155,False,False,False,True,,0.436
000105,유한양행우,0.85986328125,0.0,696.0,58900.0,상,0.1400146484375,0.72,312,5.4,26.1,-30.4,,-39.71,0.0,0.12,,False,0.662,299,False,False,True,True,0.580078125,0.28,303,1.5,11.5,-12.8,,-31.11,0.0,0.03,,False,0.305,266,False,False,True,True,0.56005859375,0.3,287,2.3,4.5,-6.7,,-12.87,0.0,-0.01,,False,0.341,240,False,False,True,True,0.81982421875,0.04,390,0.4,1.1,-1.4,,1.55,0.0,-0.01,,False,0.062,371,False,False,True,True,지속,0.555
000120,CJ대한통운,16.75,0.35,16539.0,72500.0,중,15.71875,1.03,257,401.3,-490.0,67.0,-24.1,-26.32,0.0,-0.37,202,False,1.398,192,False,False,False,False,17.703125,-0.95,746,-151.4,-480.4,585.4,-37.2,-31.28,0.0,-0.16,56,False,-0.817,697,False,False,False,False,17.265625,-0.52,816,-49.1,-41.3,83.2,-8.1,-16.95,0.0,-0.24,130,False,-0.289,738,False,False,False,False,16.953125,-0.2,838,-4.9,17.6,-11.1,7.4,0.83,0.0,-0.17,,False,-0.03,668,False,False,True,True,,0.163
000140,하이트진로홀딩스,7.21875,0.33,1928.0,8310.0,상,7.671875,-0.45,687,-11.7,-0.7,-20.4,-0.2,-13.8,0.0,0.15,,False,-0.557,707,False,False,False,True,7.51171875,-0.29,585,-8.2,-0.7,-1.4,-0.1,-9.97,0.0,0.1,,False,-0.394,585,False,False,False,True,7.26171875,-0.04,591,0.4,0.1,-1.1,-0.0,-1.07,0.0,-0.06,,False,0.021,458,False,False,True,True,7.23046875,-0.01,597,1.0,0.1,-1.1,0.0,2.97,0.0,-0.06,,False,0.05,403,False,False,True,True,스파이크,0.462
