# 사전 예상(고정): 동행 상관 양(+) 치우침 / 선행 상관 0 중심 — A 검증(갭 선취)과 정합해야 함. 전략화 금지, 기술 통계 전용
주,마지막거래일,강도pct,수익률pct
2025-W30,2025-07-25,-0.001,-3.05
2025-W31,2025-08-01,-0.052,8.86
2025-W32,2025-08-08,-0.002,3.92
2025-W33,2025-08-14,0.006,2.2
2025-W34,2025-08-22,-0.005,-9.14
2025-W35,2025-08-29,0.012,6.0
2025-W36,2025-09-05,-0.005,-0.71
2025-W37,2025-09-12,-0.005,-1.25
2025-W38,2025-09-19,-0.001,-1.44
2025-W39,2025-09-26,0.005,-6.95
2025-W40,2025-10-02,-0.004,4.52
2025-W41,2025-10-10,-0.0,0.0
2025-W42,2025-10-17,-0.003,1.76
2025-W43,2025-10-24,0.081,4.44
2025-W44,2025-10-31,0.208,8.55
2025-W45,2025-11-07,0.013,-4.02
2025-W46,2025-11-14,0.075,-11.95
2025-W47,2025-11-21,-0.002,-1.16
2025-W48,2025-11-28,-0.259,-4.68
2025-W49,2025-12-05,-0.014,-1.37
2025-W50,2025-12-12,-0.005,-3.32
2025-W51,2025-12-19,0.009,2.93
2025-W52,2025-12-26,0.025,-3.27
2026-W01,2026-01-02,-0.008,2.8
2026-W02,2026-01-09,-0.006,-1.47
2026-W03,2026-01-16,-0.017,-2.77
2026-W04,2026-01-23,-0.005,-1.09
2026-W05,2026-01-30,-0.019,2.95
2026-W06,2026-02-06,-0.074,-0.86
2026-W07,2026-02-13,0.105,3.83
2026-W08,2026-02-20,0.081,15.04
2026-W09,2026-02-27,-0.103,-4.72
2026-W10,2026-03-06,-0.045,-9.97
2026-W11,2026-03-13,0.05,3.18
2026-W12,2026-03-20,0.068,4.99
2026-W13,2026-03-27,-0.018,-1.69
2026-W14,2026-04-03,-0.008,-4.71
2026-W15,2026-04-10,-0.032,0.56
2026-W16,2026-04-17,0.033,-6.64
2026-W17,2026-04-24,-0.102,0.3
2026-W18,2026-04-30,0.026,-3.99
2026-W19,2026-05-08,0.071,4.38
2026-W20,2026-05-15,0.061,-10.76
2026-W21,2026-05-22,-0.0,-0.83
2026-W22,2026-05-29,-0.071,-12.99
2026-W23,2026-06-05,-0.02,2.78
2026-W24,2026-06-12,0.335,57.36
2026-W25,2026-06-19,0.766,184.91
2026-W26,2026-06-26,-0.036,15.68
2026-W27,2026-07-03,-0.196,-41.92
2026-W28,2026-07-10,0.173,72.49
2026-W29,2026-07-16,-0.114,-26.7
