# 사전 예상(고정): 동행 상관 양(+) 치우침 / 선행 상관 0 중심 — A 검증(갭 선취)과 정합해야 함. 전략화 금지, 기술 통계 전용
시장,코드,n주,r_동행,r_선행1,r_선행2,r_선행4,수급동행
KOSPI,000020,52,0.415,-0.114,0.042,0.037,상
KOSPI,000040,50,-0.118,0.013,0.083,-0.077,하
KOSPI,000050,52,-0.15,0.095,0.102,0.087,하
KOSPI,000070,49,0.539,-0.034,-0.029,0.265,상
KOSPI,000075,0,,,,,
KOSPI,000080,52,0.451,0.057,-0.337,0.167,상
KOSPI,000087,52,0.162,0.087,0.022,-0.055,중
KOSPI,000100,52,0.436,-0.221,0.032,0.013,상
KOSPI,000105,52,0.555,-0.466,0.169,0.102,상
KOSPI,000120,52,0.163,-0.068,0.025,-0.03,중
KOSPI,000140,52,0.462,-0.025,-0.171,0.132,상
KOSPI,000145,36,0.044,0.178,0.254,0.058,
KOSPI,000150,52,0.076,-0.168,0.128,-0.086,중
KOSPI,000155,52,0.428,-0.063,0.142,-0.067,상
KOSPI,000157,52,0.338,-0.113,0.052,-0.135,상
KOSPI,000180,50,-0.195,0.406,0.12,0.067,하
KOSPI,000210,52,-0.006,0.057,-0.073,0.048,중
KOSPI,000215,52,0.241,0.093,-0.356,0.061,중
KOSPI,000220,52,0.286,0.118,-0.227,0.222,상
KOSPI,000225,52,-0.301,0.153,-0.014,0.054,하
KOSPI,000227,33,0.001,-0.095,-0.199,-0.256,
KOSPI,000230,52,0.179,0.046,-0.226,0.008,중
KOSPI,000240,52,-0.101,0.197,0.034,0.059,하
KOSPI,000270,52,0.287,0.063,0.154,-0.041,상
KOSPI,000300,0,,,,,
KOSPI,000320,52,-0.186,0.019,0.138,0.209,하
KOSPI,000325,14,-0.037,-0.447,-0.098,0.155,
KOSPI,000370,52,0.199,-0.059,-0.035,0.099,중
KOSPI,000390,52,0.003,-0.054,0.45,-0.003,중
KOSPI,000400,52,0.227,0.113,-0.054,-0.034,중
KOSPI,000430,52,0.577,0.027,0.035,-0.048,상
KOSPI,000480,52,0.02,0.126,-0.057,-0.051,중
KOSPI,000490,52,-0.021,0.043,-0.188,0.233,하
KOSPI,000500,52,-0.096,0.179,-0.063,-0.109,하
KOSPI,000520,52,0.689,-0.115,-0.067,-0.026,상
KOSPI,000540,52,-0.336,-0.118,0.109,-0.045,하
KOSPI,000545,21,0.33,-0.174,-0.515,-0.064,
KOSPI,000590,52,0.013,-0.105,-0.103,-0.011,중
KOSPI,000640,52,0.122,0.042,0.288,-0.151,중
KOSPI,000650,52,-0.227,0.131,0.127,0.019,하
KOSPI,000660,52,0.371,0.206,0.038,0.268,상
KOSPI,000670,52,0.215,-0.289,0.039,0.176,중
KOSPI,000680,52,0.282,-0.061,0.128,-0.044,상
KOSPI,000700,52,0.282,-0.015,0.07,-0.116,상
KOSPI,000720,52,0.216,0.28,-0.088,-0.122,중
KOSPI,000725,52,0.279,0.332,0.122,0.096,중
KOSPI,000760,52,-0.168,-0.117,-0.062,0.195,하
KOSPI,000810,52,0.508,0.189,0.244,0.312,상
KOSPI,000815,52,0.554,0.006,0.07,0.165,상
KOSPI,000850,52,-0.23,0.239,-0.17,-0.219,하
KOSPI,000860,52,0.094,-0.213,0.087,-0.085,중
KOSPI,000880,52,0.128,0.079,-0.035,-0.062,중
KOSPI,000885,0,,,,,
KOSPI,00088K,52,0.341,-0.142,-0.262,-0.369,상
KOSPI,000890,49,-0.18,-0.141,0.182,-0.18,하
KOSPI,000910,52,0.016,0.229,0.049,0.147,중
KOSPI,000950,52,0.384,0.096,-0.068,0.183,상
KOSPI,000970,52,0.411,-0.142,0.133,-0.116,상
KOSPI,000990,52,-0.255,-0.014,-0.287,-0.068,하
KOSPI,001020,49,-0.119,0.045,-0.064,0.237,하
KOSPI,001040,52,-0.101,0.111,0.175,-0.056,하
KOSPI,001045,52,0.614,-0.281,0.089,0.073,상
KOSPI,00104K,52,0.434,0.071,0.049,0.03,상
KOSPI,001060,52,-0.034,-0.096,-0.061,-0.12,하
KOSPI,001065,12,0.221,-0.114,0.4,0.487,
KOSPI,001067,5,0.219,0.855,-0.332,-1.0,
KOSPI,001070,52,-0.099,0.249,0.059,0.137,하
KOSPI,001080,50,0.491,0.163,0.046,-0.22,상
KOSPI,001120,52,-0.12,0.019,0.139,-0.007,하
KOSPI,001130,49,0.538,0.413,-0.105,-0.066,상
KOSPI,001140,2,-1.0,1.0,,,
KOSPI,001200,52,-0.165,0.318,0.22,-0.131,하
KOSPI,001210,52,0.014,-0.276,0.097,0.083,중
KOSPI,001230,48,0.385,0.299,0.182,0.325,상
KOSPI,001250,52,0.102,0.178,-0.011,-0.084,중
KOSPI,001260,52,-0.012,-0.193,0.138,0.102,하
KOSPI,001270,52,0.014,0.436,0.045,0.194,중
KOSPI,001275,48,-0.277,-0.098,-0.206,-0.18,하
KOSPI,001290,52,0.122,-0.143,-0.055,-0.246,중
KOSPI,001340,52,0.407,0.122,-0.111,-0.203,상
KOSPI,001360,52,0.314,0.027,-0.2,0.062,상
KOSPI,001380,48,-0.339,-0.018,0.138,0.119,하
KOSPI,001390,52,0.526,-0.004,-0.038,-0.143,상
KOSPI,001420,52,0.208,0.05,-0.205,-0.059,중
KOSPI,001430,52,-0.226,-0.088,-0.217,-0.143,하
KOSPI,001440,52,0.213,0.243,0.21,-0.035,중
KOSPI,001450,52,0.257,-0.218,0.086,-0.33,중
KOSPI,001460,52,-0.014,-0.111,-0.092,0.241,하
KOSPI,001465,52,0.324,0.171,-0.076,0.191,상
KOSPI,001470,0,,,,,
KOSPI,001500,52,-0.291,0.297,0.227,0.122,하
KOSPI,001510,50,0.115,-0.216,0.11,0.171,중
KOSPI,001515,18,-0.328,0.423,0.361,-0.27,
KOSPI,001520,50,0.071,0.032,0.245,-0.204,중
KOSPI,001525,6,-0.111,-0.468,-0.091,-0.035,
KOSPI,001527,21,0.026,0.136,-0.013,-0.18,
KOSPI,001530,52,-0.356,0.089,0.11,0.163,하
KOSPI,001550,52,-0.113,0.115,0.159,0.087,하
KOSPI,001560,52,0.367,0.236,0.02,-0.083,상
KOSPI,001570,0,,,,,
KOSPI,001620,49,-0.245,-0.056,0.156,-0.096,하
KOSPI,001630,52,0.516,0.152,-0.011,-0.104,상
KOSPI,001680,52,0.434,-0.244,-0.367,-0.051,상
