# 사전 예상(고정): 동행 상관 양(+) 치우침 / 선행 상관 0 중심 — A 검증(갭 선취)과 정합해야 함. 전략화 금지, 기술 통계 전용
시장,시차,구간시작,구간끝,종목수
KOSDAQ,동행,-1.0,-0.9,1
KOSDAQ,동행,-0.9,-0.8,0
KOSDAQ,동행,-0.8,-0.7,5
KOSDAQ,동행,-0.7,-0.6,12
KOSDAQ,동행,-0.6,-0.5,20
KOSDAQ,동행,-0.5,-0.4,70
KOSDAQ,동행,-0.4,-0.3,96
KOSDAQ,동행,-0.3,-0.2,122
KOSDAQ,동행,-0.2,-0.1,187
KOSDAQ,동행,-0.1,-0.0,236
KOSDAQ,동행,-0.0,0.1,202
KOSDAQ,동행,0.1,0.2,196
KOSDAQ,동행,0.2,0.3,150
KOSDAQ,동행,0.3,0.4,163
KOSDAQ,동행,0.4,0.5,113
KOSDAQ,동행,0.5,0.6,76
KOSDAQ,동행,0.6,0.7,26
KOSDAQ,동행,0.7,0.8,8
KOSDAQ,동행,0.8,0.9,2
KOSDAQ,동행,0.9,1.0,0
KOSDAQ,선행1주,-1.0,-0.9,0
KOSDAQ,선행1주,-0.9,-0.8,0
KOSDAQ,선행1주,-0.8,-0.7,0
KOSDAQ,선행1주,-0.7,-0.6,0
KOSDAQ,선행1주,-0.6,-0.5,0
KOSDAQ,선행1주,-0.5,-0.4,13
KOSDAQ,선행1주,-0.4,-0.3,19
KOSDAQ,선행1주,-0.3,-0.2,74
KOSDAQ,선행1주,-0.2,-0.1,200
KOSDAQ,선행1주,-0.1,-0.0,414
KOSDAQ,선행1주,-0.0,0.1,408
KOSDAQ,선행1주,0.1,0.2,309
KOSDAQ,선행1주,0.2,0.3,178
KOSDAQ,선행1주,0.3,0.4,54
KOSDAQ,선행1주,0.4,0.5,14
KOSDAQ,선행1주,0.5,0.6,1
KOSDAQ,선행1주,0.6,0.7,1
KOSDAQ,선행1주,0.7,0.8,0
KOSDAQ,선행1주,0.8,0.9,0
KOSDAQ,선행1주,0.9,1.0,0
KOSDAQ,선행2주,-1.0,-0.9,0
KOSDAQ,선행2주,-0.9,-0.8,0
KOSDAQ,선행2주,-0.8,-0.7,0
KOSDAQ,선행2주,-0.7,-0.6,0
KOSDAQ,선행2주,-0.6,-0.5,0
KOSDAQ,선행2주,-0.5,-0.4,15
KOSDAQ,선행2주,-0.4,-0.3,36
KOSDAQ,선행2주,-0.3,-0.2,137
KOSDAQ,선행2주,-0.2,-0.1,317
KOSDAQ,선행2주,-0.1,-0.0,462
KOSDAQ,선행2주,-0.0,0.1,392
KOSDAQ,선행2주,0.1,0.2,209
KOSDAQ,선행2주,0.2,0.3,95
KOSDAQ,선행2주,0.3,0.4,18
KOSDAQ,선행2주,0.4,0.5,4
KOSDAQ,선행2주,0.5,0.6,0
KOSDAQ,선행2주,0.6,0.7,0
KOSDAQ,선행2주,0.7,0.8,0
KOSDAQ,선행2주,0.8,0.9,0
KOSDAQ,선행2주,0.9,1.0,0
KOSDAQ,선행4주,-1.0,-0.9,0
KOSDAQ,선행4주,-0.9,-0.8,0
KOSDAQ,선행4주,-0.8,-0.7,0
KOSDAQ,선행4주,-0.7,-0.6,1
KOSDAQ,선행4주,-0.6,-0.5,3
KOSDAQ,선행4주,-0.5,-0.4,8
KOSDAQ,선행4주,-0.4,-0.3,38
KOSDAQ,선행4주,-0.3,-0.2,88
KOSDAQ,선행4주,-0.2,-0.1,267
KOSDAQ,선행4주,-0.1,-0.0,436
KOSDAQ,선행4주,-0.0,0.1,426
KOSDAQ,선행4주,0.1,0.2,267
KOSDAQ,선행4주,0.2,0.3,101
KOSDAQ,선행4주,0.3,0.4,37
KOSDAQ,선행4주,0.4,0.5,8
KOSDAQ,선행4주,0.5,0.6,4
KOSDAQ,선행4주,0.6,0.7,1
KOSDAQ,선행4주,0.7,0.8,0
KOSDAQ,선행4주,0.8,0.9,0
KOSDAQ,선행4주,0.9,1.0,0
KOSPI,동행,-1.0,-0.9,0
KOSPI,동행,-0.9,-0.8,1
KOSPI,동행,-0.8,-0.7,4
KOSPI,동행,-0.7,-0.6,1
KOSPI,동행,-0.6,-0.5,7
KOSPI,동행,-0.5,-0.4,15
KOSPI,동행,-0.4,-0.3,35
KOSPI,동행,-0.3,-0.2,50
KOSPI,동행,-0.2,-0.1,82
KOSPI,동행,-0.1,-0.0,107
KOSPI,동행,-0.0,0.1,102
KOSPI,동행,0.1,0.2,114
KOSPI,동행,0.2,0.3,90
KOSPI,동행,0.3,0.4,101
KOSPI,동행,0.4,0.5,81
KOSPI,동행,0.5,0.6,64
KOSPI,동행,0.6,0.7,23
KOSPI,동행,0.7,0.8,6
KOSPI,동행,0.8,0.9,0
KOSPI,동행,0.9,1.0,0
KOSPI,선행1주,-1.0,-0.9,0
KOSPI,선행1주,-0.9,-0.8,0
KOSPI,선행1주,-0.8,-0.7,0
KOSPI,선행1주,-0.7,-0.6,0
KOSPI,선행1주,-0.6,-0.5,0
KOSPI,선행1주,-0.5,-0.4,3
KOSPI,선행1주,-0.4,-0.3,8
