날짜,코드,종가,외인지분율,외인_억,기관_억,개인_억
2025-07-14,250000,10170.0,2.85,-0.3,0.0,0.3
2025-07-15,250000,10140.0,2.8,-0.2,0.0,0.2
2025-07-16,250000,10160.0,2.77,-0.4,,0.3
2025-07-17,250000,10120.0,2.71,-0.2,0.0,-0.4
2025-07-18,250000,10160.0,2.69,0.2,0.0,-0.2
2025-07-21,250000,10180.0,2.72,0.3,0.0,-0.3
2025-07-22,250000,10080.0,2.76,-0.7,0.0,0.6
2025-07-23,250000,10000.0,2.66,-0.5,0.0,0.5
2025-07-24,250000,9880.0,2.59,-0.8,0.0,0.7
2025-07-25,250000,9810.0,2.47,-0.4,0.0,0.3
2025-07-28,250000,9600.0,2.49,-0.3,0.0,0.3
2025-07-29,250000,9650.0,2.43,0.4,0.0,-0.4
2025-07-30,250000,9720.0,2.42,-0.2,0.0,0.2
2025-07-31,250000,9740.0,2.4,0.0,0.0,-0.0
2025-08-01,250000,9380.0,2.42,-0.6,0.0,0.6
2025-08-04,250000,9400.0,2.33,-0.1,0.0,0.1
2025-08-05,250000,9470.0,2.32,0.4,0.0,-0.4
2025-08-06,250000,9700.0,2.37,0.4,0.0,-0.4
2025-08-07,250000,9680.0,2.43,-0.2,-0.0,0.2
2025-08-08,250000,9590.0,2.4,0.0,0.0,-0.0
2025-08-11,250000,9580.0,2.41,-0.3,0.0,0.3
2025-08-12,250000,9630.0,2.36,0.2,0.0,-0.2
2025-08-13,250000,9630.0,2.39,-0.2,0.0,-0.0
2025-08-14,250000,9650.0,2.36,-0.2,0.0,0.1
2025-08-18,250000,9610.0,2.35,-0.1,0.0,0.0
2025-08-19,250000,9440.0,2.33,-0.1,0.0,0.1
2025-08-20,250000,9490.0,2.31,-0.3,0.0,0.2
2025-08-21,250000,9570.0,2.27,0.0,0.0,-0.0
2025-08-22,250000,9350.0,2.27,0.1,0.0,0.2
2025-08-25,250000,9390.0,2.29,0.2,-0.1,-0.1
2025-08-26,250000,9420.0,2.32,-0.0,0.0,0.1
2025-08-27,250000,9410.0,2.32,-0.3,0.0,0.3
2025-08-28,250000,9450.0,2.26,0.1,-0.0,-0.1
2025-08-29,250000,9390.0,2.28,-0.1,0.0,0.1
2025-09-01,250000,9330.0,2.26,-0.0,0.0,0.0
2025-09-02,250000,9310.0,2.25,0.0,0.0,-0.0
2025-09-03,250000,9330.0,2.26,0.1,0.0,-0.1
2025-09-04,250000,9390.0,2.29,0.2,0.0,-0.2
2025-09-05,250000,9410.0,2.31,0.0,0.0,-0.1
2025-09-08,250000,9430.0,2.32,0.0,0.0,-0.0
2025-09-09,250000,9480.0,2.33,-0.0,,0.0
2025-09-10,250000,9610.0,2.33,0.2,0.0,-0.1
2025-09-11,250000,9480.0,2.35,-0.3,0.0,0.2
2025-09-12,250000,9600.0,2.31,-0.3,0.0,0.3
2025-09-15,250000,9530.0,2.27,-0.1,0.0,0.1
2025-09-16,250000,9530.0,2.26,-0.1,,0.1
2025-09-17,250000,9520.0,2.25,-0.1,0.0,0.1
2025-09-18,250000,9480.0,2.24,0.0,0.0,-0.0
2025-09-19,250000,9530.0,2.24,-0.0,-0.0,0.0
2025-09-22,250000,9530.0,2.24,0.1,0.0,-0.1
2025-09-23,250000,9400.0,2.25,-0.4,0.0,0.4
2025-09-24,250000,9340.0,2.24,0.0,0.0,-0.0
2025-09-25,250000,9330.0,2.23,-0.0,0.0,0.0
2025-09-26,250000,9310.0,2.22,-0.0,0.0,0.0
2025-09-29,250000,9220.0,2.22,-0.2,0.0,0.2
2025-09-30,250000,9130.0,2.18,-0.1,0.0,0.1
