ID,사건,날짜,집계기준,KOSPI_외국인_조,KOSPI_기관_조,KOSPI_개인_조,KOSDAQ_외국인_조,KOSDAQ_기관_조,KOSDAQ_개인_조
A06,러시아-우크라이나 전쟁,2022-02-24,사건 월 (2022-02),0.8,-1.63,0.47,-0.32,-0.29,0.6
A07,이스라엘-하마스 전쟁,2023-10-07,사건 월 (2023-10),-2.94,0.66,2.11,-0.44,0.42,0.12
A08,미국-이란 전쟁 (2026),2026-02-28,D±5 (2026-02-23~2026-03-10),-21.01,0.6,19.36,2.02,1.96,-3.26
B07,SVB 뱅크런,2023-03-10,사건 월 (2023-03),0.29,1.05,-1.67,-1.21,-1.71,3.28
C02,코로나19 팬데믹,2020-03-11,사건 월 (2020-03),-12.56,0.12,11.19,-0.3,0.05,0.3
C03,코로나 변이 (오미크론 쇼크),2021-11-26,사건 월 (2021-11),2.61,-1.28,-1.79,1.07,0.12,-0.6
C04,에버그란데 위기,2021-09-20,사건 월 (2021-09),1.1,-4.2,2.74,-0.09,-1.49,1.89
D04,브렉시트 국민투표,2016-06-23,사건 월 (2016-06),0.81,0.25,-1.28,0.01,-0.42,0.69
D05,미중 무역전쟁 격화,2018-03-22,사건 월 (2018-03),-0.74,0.16,1.07,0.27,0.5,-0.28
D06,연준 긴축 쇼크 (2022),2022-01-05,사건 월 (2022-01),-1.46,-2.7,4.39,-2.1,-0.74,2.82
E03,ChatGPT 출시 / AI 빅뱅,2022-11-30,사건 월 (2022-11),3.91,0.28,-4.18,0.21,-0.55,0.63
E04,딥시크 쇼크,2025-01-27,사건 월 (2025-01),-0.94,-0.41,0.33,-0.51,-0.04,0.6
E05,트럼프 관세 폭탄 (2025),2025-04-02,사건 월 (2025-04),-9.36,3.25,4.58,-0.79,0.3,0.67
M001,스타벅스 5·18 탱크데이 논란,2026-05-18,D±5 (2026-05-11~2026-05-26),-34.68,6.02,27.88,1.46,-0.57,-0.47
M002,한진 조현민 물컵 갑질 사건,2018-04-12,사건 월 (2018-04),-1.04,-0.71,2.36,-0.28,-0.17,0.8
M004,카카오 SK C&C 판교 데이터센터 화재,2022-10-15,사건 월 (2022-10),3.31,-0.77,-2.7,-0.26,0.14,0.09
M005,화물연대 2차 총파업 (안전운임제),2022-11-24,사건 월 (2022-11),3.91,0.28,-4.18,0.21,-0.55,0.63
M007,이건희 회장 별세 (상속·배당 정책 전환),2020-10-25,사건 월 (2020-10),-0.39,-0.7,1.27,-0.1,-1.51,1.94
M009,정기선 HD현대 부회장 승진 (3세 승계 가시화),2023-11-23,사건 월 (2023-11),2.95,3.45,-6.01,1.32,-0.84,-0.37
M010,LG화학 LG에너지솔루션 물적분할 발표,2020-09-17,사건 월 (2020-09),-0.88,-4.13,4.97,-0.3,-1.73,2.66
M011,LG에너지솔루션 상장 (한국 최대 IPO),2022-01-27,사건 월 (2022-01),-1.46,-2.7,4.39,-2.1,-0.74,2.82
M012,카카오뱅크 상장 (인터넷전문은행 최초 IPO),2021-08-06,사건 월 (2021-08),-6.26,1.88,5.54,0.29,-1.16,1.45
M013,삼성전자 50:1 액면분할,2018-05-04,사건 월 (2018-05),-0.81,-2.19,2.35,0.53,-0.18,-0.17
M014,카카오 5:1 액면분할,2021-04-15,사건 월 (2021-04),0.37,-5.85,5.84,-0.29,-0.37,1.2
M015,대한항공 아시아나 인수 + 2.5조 유상증자 발표,2020-11-16,사건 월 (2020-11),4.99,-1.98,-2.78,0.85,-0.75,0.63
M016,SK이노베이션 배터리 분할 발표 (SK온),2021-07-01,사건 월 (2021-07),-5.11,-2.75,7.86,0.22,-0.95,1.16
M017,메리츠금융 완전자회사 편입 (주주환원 선언),2022-11-21,사건 월 (2022-11),3.91,0.28,-4.18,0.21,-0.55,0.63
M018,SK바이오팜 IPO 따상상상,2020-07-02,사건 월 (2020-07),1.08,-3.06,2.24,-0.17,-0.85,1.61
M019,카카오게임즈 IPO 따상,2020-09-10,사건 월 (2020-09),-0.88,-4.13,4.97,-0.3,-1.73,2.66
M020,하이브(빅히트) 상장 — 따상 후 급락,2020-10-15,사건 월 (2020-10),-0.39,-0.7,1.27,-0.1,-1.51,1.94
M021,SK바이오사이언스 IPO 따상,2021-03-18,사건 월 (2021-03),-1.24,-5.59,6.94,-0.26,-0.07,0.65
M022,크래프톤 IPO 첫날 약세 (4.3조 빅딜),2021-08-10,사건 월 (2021-08),-6.26,1.88,5.54,0.29,-1.16,1.45
M023,카카오페이 IPO + 경영진 스톡옵션 매도 논란,2021-11-03,사건 월 (2021-11),2.61,-1.28,-1.79,1.07,0.12,-0.6
M024,두산밥캣 IPO (사모펀드 회수),2016-11-18,사건 월 (2016-11),-0.33,1.84,-0.91,-0.13,0.14,0.12
M025,두산로보틱스 IPO 따상 후 급락,2023-10-05,사건 월 (2023-10),-2.94,0.66,2.11,-0.44,0.42,0.12
M026,에코프로머티리얼즈 IPO (2차전지 분할),2023-11-17,사건 월 (2023-11),2.95,3.45,-6.01,1.32,-0.84,-0.37
M027,HD현대마린솔루션 IPO (HD현대 분할 시리즈),2024-05-08,사건 월 (2024-05),-1.33,1.09,0.76,0.38,0.2,-0.12
(미등재),2026-07-13 폭락,2026-07-13,D±5 (2026-07-06~2026-07-16),-3.9,-0.91,4.62,-0.37,0.81,-0.52
