라벨,개인_억,기관_억,외인_억
2025-07-18,2356.0,-858.0,-1409.0
2025-07-25,3945.0,-3978.0,641.0
2025-08-01,3582.0,-2588.0,-612.0
2025-08-08,-2039.0,2445.0,20.0
2025-08-14,-1406.0,663.0,1008.0
2025-08-22,4864.0,-3596.0,-494.0
2025-08-29,-1690.0,622.0,1878.0
2025-09-05,-2038.0,846.0,1782.0
2025-09-12,-3840.0,2373.0,1906.0
2025-09-19,2463.0,416.0,-1784.0
2025-09-26,9654.0,-3349.0,-4762.0
2025-10-02,-1143.0,1746.0,235.0
2025-10-10,-1310.0,-871.0,2453.0
2025-10-17,6605.0,-4238.0,-1909.0
2025-10-24,2075.0,683.0,-490.0
2025-10-31,-5152.0,2649.0,5031.0
2025-11-07,705.0,1174.0,-341.0
2025-11-14,904.0,1486.0,-1437.0
2025-11-21,5272.0,-487.0,-2201.0
2025-11-28,-11682.0,6138.0,6880.0
2025-12-05,2178.0,3690.0,-3442.0
2025-12-12,-937.0,-2986.0,6743.0
2025-12-19,6609.0,719.0,-5798.0
2025-12-26,-1824.0,5424.0,-1078.0
2026-01-02,5444.0,-2626.0,-1417.0
2026-01-09,8380.0,-26.0,-4525.0
2026-01-16,6568.0,-3601.0,-2232.0
2026-01-23,-4383.0,4120.0,1834.0
2026-01-30,-101267.0,99544.0,9153.0
2026-02-06,7988.0,-5394.0,1245.0
2026-02-13,3570.0,2292.0,-2954.0
2026-02-20,-15983.0,10773.0,6507.0
2026-02-27,-1812.0,-7.0,7292.0
2026-03-06,-35958.0,14865.0,22314.0
2026-03-13,11483.0,8536.0,-17929.0
2026-03-20,8403.0,-5862.0,-118.0
2026-03-27,5262.0,-2445.0,-2394.0
2026-04-03,4752.0,-4485.0,1352.0
2026-04-10,6568.0,-5211.0,715.0
2026-04-17,4838.0,-946.0,-2045.0
2026-04-24,3758.0,-6106.0,4781.0
2026-04-30,16291.0,-5467.0,-8947.0
2026-05-08,-3188.0,-6684.0,10615.0
2026-05-15,3976.0,-5253.0,2665.0
2026-05-22,-10933.0,-166.0,12927.0
2026-05-29,12096.0,-12818.0,2164.0
2026-06-05,-10302.0,1989.0,9205.0
2026-06-12,-18240.0,12869.0,6727.0
2026-06-19,18326.0,-11062.0,-7161.0
2026-06-26,-17033.0,7525.0,9185.0
2026-07-03,3490.0,-1769.0,-1827.0
2026-07-10,-10414.0,5110.0,5383.0
2026-07-16,5173.0,2963.0,-9061.0
