라벨,개인_억,기관_억,외인_억
2025-07-18,-9421.0,-4735.0,8758.0
2025-07-25,-26908.0,1158.0,22009.0
2025-08-01,-9560.0,-8778.0,13531.0
2025-08-08,-7519.0,-1983.0,4823.0
2025-08-14,-7954.0,-3753.0,7175.0
2025-08-22,-6618.0,11530.0,-9933.0
2025-08-29,3646.0,3075.0,-11677.0
2025-09-05,-4967.0,-6221.0,6367.0
2025-09-12,-68633.0,26975.0,40202.0
2025-09-19,-18973.0,-2432.0,20110.0
2025-09-26,-4540.0,1248.0,3043.0
2025-10-02,-49272.0,4050.0,44477.0
2025-10-10,-5022.0,-5936.0,10614.0
2025-10-17,-15095.0,2868.0,9966.0
2025-10-24,-18935.0,26259.0,-7918.0
2025-10-31,11522.0,-10978.0,1052.0
2025-11-07,74433.0,830.0,-72638.0
2025-11-14,11143.0,8222.0,-18642.0
2025-11-21,20710.0,11724.0,-31710.0
2025-11-28,-13411.0,34227.0,-21572.0
2025-12-05,-39790.0,21807.0,20298.0
2025-12-12,-15174.0,3615.0,10173.0
2025-12-19,25964.0,3776.0,-31166.0
2025-12-26,-70003.0,26056.0,43706.0
2026-01-02,4857.0,-9372.0,4917.0
2026-01-09,1757.0,-19075.0,10848.0
2026-01-16,-40133.0,31858.0,-2195.0
2026-01-23,-19638.0,-318.0,10081.0
2026-01-30,58242.0,-32875.0,-23995.0
2026-02-06,95860.0,6140.0,-111200.0
2026-02-13,-96281.0,54324.0,35241.0
2026-02-20,-18482.0,32692.0,-16786.0
2026-02-27,59254.0,55438.0,-117987.0
2026-03-06,106486.0,-43165.0,-70451.0
2026-03-13,69620.0,-8114.0,-62690.0
2026-03-20,9149.0,22435.0,-32659.0
2026-03-27,117090.0,-475.0,-133544.0
2026-04-03,-13138.0,51991.0,-59151.0
2026-04-10,-77423.0,4482.0,49665.0
2026-04-17,-29731.0,18499.0,-6642.0
2026-04-24,5967.0,13160.0,-18031.0
2026-04-30,-7557.0,22490.0,-14019.0
2026-05-08,45981.0,18663.0,-59736.0
2026-05-15,205162.0,-11140.0,-200496.0
2026-05-22,79389.0,63140.0,-144953.0
2026-05-29,20411.0,21308.0,-41961.0
2026-06-05,159775.0,25327.0,-186301.0
2026-06-12,37732.0,527.0,-43401.0
2026-06-19,-19389.0,-2432.0,25587.0
2026-06-26,191511.0,-30610.0,-166372.0
2026-07-03,111217.0,81212.0,-198374.0
2026-07-10,36748.0,2920.0,-41162.0
2026-07-16,9438.0,-12060.0,2146.0
